NOSSedCode,Definition,num.rec,FOLKCODE,Standard.Sediment,Quality,Color
cov 1ft MLLW,,22,,,,
rk (less than class 1 sources),,23,,,,
*rk (less than class 1 sources),,32,,,,
fne gn S,,94,S,sand,fine,green
kelp,,35,,kelp,,
Clay,,86,C,clay,,
wh S,,37,S,sand,,white
Awash HW,,28,,,,
Awash LW,,26,,,,
Awash half tide,,26,,,,
Boulders,,24,B,boulders,,
Lava Ash,,22,,lava,,
awash at half tide,,22,,,,
stky,,44,,,sticky,
crs S Sh,,31,S,sand,coarse,
gn M S,,46,sM,mud,,green
fne gn S brk Sh,,66,S,sand,fine,green
fne gn S brk Sh P,,32,S,sand,fine,green
crs gn S M,,28,mS,sand,coarse,green
crs S M,,40,mS,sand,coarse,
rocks,,27,R,rock,,
Gravel,,27,G,gravel,,
Hard,,340,R,rock,hard,
Soft,,62,,soft,soft,
Sand,,331,S,sand,,
Rocky,,124,R,rock,rocky,
*rk awash h.w.,,24,,,,
*rk awash H.W.,,27,,,,
