"lat","lon","depth"
28.0625,264.6875,0
28.1875,264.6875,0
28.0625,264.8125,0
28.1875,264.8125,0
28.0625,264.9375,0
28.1875,264.9375,0
28.0625,265.0625,0
28.1875,265.0625,0
28.0625,265.1875,0
28.1875,265.1875,0
28.0625,265.3125,0
28.1875,265.3125,0
28.0625,265.4375,0
28.1875,265.4375,0
28.0625,265.5625,0
28.1875,265.5625,0
28.0625,265.6875,0
28.1875,265.6875,0
28.0625,265.8125,0
28.1875,265.8125,0
28.0625,265.9375,0
28.1875,265.9375,0
28.0625,266.0625,0
28.1875,266.0625,0
28.0625,266.1875,0
28.1875,266.1875,0
28.0625,266.3125,0
28.1875,266.3125,0
28.0625,266.4375,0
28.1875,266.4375,0
28.0625,266.5625,0
28.1875,266.5625,0
28.0625,266.6875,0
28.1875,266.6875,0
28.0625,266.8125,0
28.1875,266.8125,0
28.0625,266.9375,0
28.1875,266.9375,0
28.0625,267.0625,0
28.1875,267.0625,0
28.0625,267.1875,0
28.1875,267.1875,0
28.0625,267.3125,0
28.1875,267.3125,0
28.0625,267.4375,0
28.1875,267.4375,0
28.0625,267.5625,0
28.1875,267.5625,0
28.0625,267.6875,0
28.1875,267.6875,0
28.0625,267.8125,0
28.1875,267.8125,0
28.0625,267.9375,0
28.1875,267.9375,0
28.0625,268.0625,0
28.1875,268.0625,0
28.0625,268.1875,0
28.1875,268.1875,0
28.0625,268.3125,0
28.1875,268.3125,0
28.0625,268.4375,0
28.1875,268.4375,0
28.0625,268.5625,0
28.1875,268.5625,0
28.0625,268.6875,0
28.1875,268.6875,0
28.0625,268.8125,0
28.1875,268.8125,0
28.0625,268.9375,0
28.1875,268.9375,0
28.0625,269.0625,0
28.1875,269.0625,0
28.0625,269.1875,0
28.1875,269.1875,0
28.0625,269.3125,0
28.1875,269.3125,0
28.0625,269.4375,0
28.1875,269.4375,0
28.0625,269.5625,0
28.1875,269.5625,0
28.0625,269.6875,0
28.1875,269.6875,0
28.0625,269.8125,0
28.1875,269.8125,0
28.0625,269.9375,0
28.1875,269.9375,0
28.3125,263.5625,0
28.4375,263.5625,0
28.3125,263.6875,0
28.4375,263.6875,0
28.3125,263.8125,0
28.4375,263.8125,0
28.3125,263.9375,0
28.4375,263.9375,0
28.3125,264.0625,0
28.4375,264.0625,0
28.3125,264.1875,0
28.4375,264.1875,0
28.3125,264.3125,0
28.4375,264.3125,0
28.3125,264.4375,0
28.4375,264.4375,0
28.3125,264.5625,0
28.4375,264.5625,0
28.3125,264.6875,0
28.4375,264.6875,0
28.3125,264.8125,0
28.4375,264.8125,0
28.3125,264.9375,0
28.4375,264.9375,0
28.3125,265.0625,0
28.4375,265.0625,0
28.3125,265.1875,0
28.4375,265.1875,0
28.3125,265.3125,0
28.4375,265.3125,0
28.3125,265.4375,0
28.4375,265.4375,0
28.3125,265.5625,0
28.4375,265.5625,0
28.3125,265.6875,0
28.4375,265.6875,0
28.3125,265.8125,0
28.4375,265.8125,0
28.3125,265.9375,0
28.4375,265.9375,0
28.3125,266.0625,0
28.4375,266.0625,0
28.3125,266.1875,0
28.4375,266.1875,0
28.3125,266.3125,0
28.4375,266.3125,0
28.3125,266.4375,0
28.4375,266.4375,0
28.3125,266.5625,0
28.4375,266.5625,0
28.3125,266.6875,0
28.4375,266.6875,0
28.3125,266.8125,0
28.4375,266.8125,0
28.3125,266.9375,0
28.4375,266.9375,0
28.3125,267.0625,0
28.4375,267.0625,0
28.3125,267.1875,0
28.4375,267.1875,0
28.3125,267.3125,0
28.4375,267.3125,0
28.3125,267.4375,0
28.4375,267.4375,0
28.3125,267.5625,0
28.4375,267.5625,0
