mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	lower_phi_limit	upper_phi_limit	weight_percent
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	2	1	3	4	5	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	2	1	4	6	24	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	3	4	18	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	4	6	24	
09995006	Westwind	00616	PH-1	401	core, gravity, phleger	0	3	1	6	99	30	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	-99	-2	2	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	-2	-1	4	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	-1	0	4	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	0	1	9	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	1	2	14	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	2	3	11	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	3	4	9	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	4	6	15	
09995006	Westwind	00616	PH-10	100	grab, undifferentiated	0	1	1	6	99	31	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	1	1	-1	0	1	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	1	1	0	1	1	
09995006	Westwind	00616	PH-11	401	core, gravity, phleger	0	1	1	1	2	2	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	-99	-2	2	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	-2	-1	5	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	2	1	6	99	63	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	3	1	-99	-2	1	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	3	1	2	3	1	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	3	1	3	4	4	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	3	1	4	6	31	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	3	1	6	99	63	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	-99	-2	4	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	-2	-1	4	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	-1	0	4	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	0	1	6	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	1	2	22	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	2	3	24	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	3	4	8	
09995006	Westwind	00616	PH-3	401	core, gravity, phleger	0	1	1	4	6	7	
09005002	Unknown Platform	L.I. 244	9_12	100	grab, undifferentiated	0	1	1	-99	-2	31	
09005002	Unknown Platform	L.I. 244	9_12	100	grab, undifferentiated	0	1	1	-2	-1	58	
09005002	Unknown Platform	L.I. 244	9_12	100	grab, undifferentiated	0	1	1	-1	0	9	
09005002	Unknown Platform	L.I. 244	9_12	100	grab, undifferentiated	0	1	1	0	1	2	
09005002	Unknown Platform	L.I. 244	9_12	100	grab, undifferentiated	0	1	1	1	2	0	
09005002	Unknown Platform	L.I. 244	9_12	100	grab, undifferentiated	0	1	1	2	3	0	
09005002	Unknown Platform	L.I. 244	9_12	100	grab, undifferentiated	0	1	1	3	4	0	
09005002	Unknown Platform	L.I. 244	9_6	100	grab, undifferentiated	0	1	1	-2	-1	42	
09005002	Unknown Platform	L.I. 244	9_6	100	grab, undifferentiated	0	1	1	-1	0	25	
09005002	Unknown Platform	L.I. 244	9_6	100	grab, undifferentiated	0	1	1	0	1	13	
09005002	Unknown Platform	L.I. 244	9_6	100	grab, undifferentiated	0	1	1	1	2	5	
09005002	Unknown Platform	L.I. 244	9_6	100	grab, undifferentiated	0	1	1	2	3	0	
09005002	Unknown Platform	L.I. 244	9_6	100	grab, undifferentiated	0	1	1	3	4	0	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	-2	-1	.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	-1	0	.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	0	1	.9	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	1	2	2.7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	2	3	6.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	3	4	5.9	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	4	5	11.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	5	6	7.7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	6	7	9.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	7	8	14.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	8	9	13.2	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	9	10	10.9	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	1	1	10	99	15.5	
