mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	analysis_type	depth_top_cm	depth_top_mm	depth_bot_cm	depth_bot_mm	test_date	test_time	total_weight	coarse_meth	fine_meth	coarse_fine_boundary	coarse_boundary	fine_boundary	pct_coarser	pct_finer	pct_gravel	pct_sand	pct_silt	pct_clay	pct_mud	usc_gravel	usc_sand	usc_fines	meth_description	mean_mm	mean_phi	median_phi	modal_phi	skewness	kurtosis	std_dev	sort_coeff	interval_comments
09995040	Northwind	31501	162	100	grab, undifferentiated	0	1	1	02					19550410		043.21	sieves	pipette	04.00						57	31	11								3.74							
20995002	Multiple	ANC68	029	100	grab, undifferentiated	0	1	0	02					19680620		031.39	sieves	pipette		03.00	08.00	0	.36																.8			
20995002	Multiple	ANC68	035	100	grab, undifferentiated	0	1	0	02					19680621		038.51	sieves	pipette		04.00	06.00	0	.46																1.79			
20995002	Multiple	ANC68	050	100	grab, undifferentiated	0	1	0	02	0	0			19680725		011.11	sieves	pipette		01.00	11.00	0	8.44																2.46			
20995002	Multiple	ANC68	051	100	grab, undifferentiated	0	1	0	02					19680726		014.04	sieves	pipette		03.00	11.00	0	3.61																3.65			
20995002	Multiple	ANC68	054	100	grab, undifferentiated	0	1	0	02					19680630		012.90	sieves	pipette		06.00	11.00	0	5.87																4.64			
20995002	Multiple	ANC68	069	100	grab, undifferentiated	0	1	0	02					19680726		013.76	sieves	pipette		04.00	11.00	0	2.74																3.9			
20995002	Multiple	ANC68	072	100	grab, undifferentiated	0	1	0	02	0	0			19680727		028.55	sieves	pipette		04.00	11.00	0	2.04																3.57			
20995002	Multiple	ANC68	076	100	grab, undifferentiated	0	1	0	02	0	0			19680727		028.30	sieves	pipette		03.00	11.00	0	2.84																2.54			
20995002	Multiple	ANC68	077	100	grab, undifferentiated	0	1	0	02	0	0			19680727		096.65	sieves	pipette		05.00	11.00	0	1.79																3.51			
20995002	Brown Bear	BB268	064	400	core, gravity undiff.	0	5	0	02	91	0			19600805		010.15	sieves	pipette		01.00	11.00	0	3.94																2.03			
20995002	Brown Bear	BB268	064	401	core, gravity, phleger	0	1	0	02	1	0			19600805		006.66	sieves	pipette		01.00	11.00	0	3																2.15			
20995002	Brown Bear	BB268	065	400	core, gravity undiff.	0	1	0	02	0	0			19600805		013.18	sieves	pipette		01.00	11.00	0	1.9																1.79			
20995002	Brown Bear	BB268	065	400	core, gravity undiff.	0	2	0	02	20	0			19600805		016.63	sieves	pipette		00.00	11.00	0	2.1																1.81			
20995002	Brown Bear	BB268	065	400	core, gravity undiff.	0	3	0	02	42	0			19600805		022.98	sieves	pipette		00.00	11.00	0	1.74																1.75			
20995002	Brown Bear	BB268	066	100	grab, undifferentiated	0	1	0	02					19600805		020.28	sieves	pipette		00.00	11.00	0	2.96																1.93			
20995002	Brown Bear	BB268	066	400	core, gravity undiff.	0	2	0	02	0	0			19600805		005.23	sieves	pipette		01.00	11.00	0	3.82																1.96			
20995002	Brown Bear	BB268	066	400	core, gravity undiff.	0	3	0	02	16	0			19600805		020.06	sieves	pipette		00.00	11.00	0	2.49																1.82			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	24	1	02	181	0	191	0	19720817						-4.00	10.00	0	45.55	.6	16.41	28.31	54.69							7.73			3.13	.39	.56			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	25	1	02	191	0	199	0	19720817						-4.00	10.00	0	7.2	.17	17.71	41.02	41.1							6.67			2.62	.19	.84			
09035008	Silas Bent	BENT	DAR5	406	core, gravity, ewing	0	1	1	02	94	0						sieves	hydrometer	04.00						2	30	68								9.29							
09035008	Silas Bent	BENT	DAR5	406	core, gravity, ewing	0	2	1	02	177	0						sieves	hydrometer	04.00						17	35	48								7.9							
09035008	Silas Bent	BENT	DAR5	406	core, gravity, ewing	0	3	1	02	317	0						sieves	hydrometer	04.00						0	45	55								8.38							
09035008	Silas Bent	BENT	DAR5	406	core, gravity, ewing	0	4	1	02	384	0						sieves	hydrometer	04.00						1	46	53								8.16						DRAFT LOG FOR DREDGE SAMPLE INCLUDED FOR THESE INTS: 00,10,15,30,35,50,55,60,90,110,130,135,143	
