"","region","latstep","sizestep","repnum","latrng","size","meanturnIndiv","netwrkturn"
"1831","DFO_NewfoundlandFall",0.434285714285714,0.08,4,0.426666666666667,0.0804769001490313,0.797287617007766,0.916821254606145
"1832","DFO_ScotianShelf",0.434285714285714,0.08,4,0.423076923076923,0.0808080808080808,0.729310858733086,0.924905552959448
"1833","DFO_SoGulf",0.434285714285714,0.08,4,0.428571428571429,0.0806451612903226,0.588980872860694,0.655682953246525
"1834","NEFSC_NEUSSpring",0.434285714285714,0.08,4,0.418604651162791,0.0815217391304348,0.774141532524634,0.886558738018324
"1835","NWFSC_WCAnn",0.434285714285714,0.08,4,0.428571428571429,0.0829694323144105,0.697602324911293,0.881201149464247
"1836","SEFSC_GOMex",0.434285714285714,0.08,4,0.388888888888889,0.0816326530612245,0.794879354877582,0.91533908330418
"1837","AFSC_Aleutians",0.575714285714286,0.08,4,0.538461538461538,0.0822510822510823,0.449311256285186,0.622381243861178
"1838","AFSC_EBS",0.575714285714286,0.08,4,0.566666666666667,0.0812407680945347,0.488838861561919,0.821964421077718
"1839","AFSC_GOA",0.575714285714286,0.08,4,0.5625,0.0806045340050378,0.489120806774059,0.790714445859028
"1840","DFO_NewfoundlandFall",0.575714285714286,0.08,4,0.573333333333333,0.0804769001490313,0.790584743132251,0.929518192845139
"1841","DFO_ScotianShelf",0.575714285714286,0.08,4,0.538461538461538,0.0808080808080808,0.67639349620616,0.915666960042827
"1842","DFO_SoGulf",0.575714285714286,0.08,4,0.571428571428571,0.0806451612903226,0.549006729361458,0.677404074176638
"1843","NEFSC_NEUSSpring",0.575714285714286,0.08,4,0.534883720930233,0.0815217391304348,0.75507772426811,0.890980194666122
"1844","NWFSC_WCAnn",0.575714285714286,0.08,4,0.555555555555556,0.0829694323144105,0.708162618831836,0.839747613354328
"1845","SEFSC_GOMex",0.575714285714286,0.08,4,0.5,0.0816326530612245,0.831172987210012,0.928719285632304
"1846","AFSC_Aleutians",0.717142857142857,0.08,4,0.692307692307692,0.0822510822510823,0.449770431457656,0.721868037932557
"1847","AFSC_EBS",0.717142857142857,0.08,4,0.7,0.0812407680945347,0.425531502099249,0.77812640396902
"1848","AFSC_GOA",0.717142857142857,0.08,4,0.65625,0.0806045340050378,0.579989056692402,0.76853277747861
"1849","DFO_NewfoundlandFall",0.717142857142857,0.08,4,0.706666666666667,0.0804769001490313,0.773707169367293,0.911702449729497
"1850","DFO_ScotianShelf",0.717142857142857,0.08,4,0.653846153846154,0.0808080808080808,0.682389864766059,0.940124872762535
"1851","DFO_SoGulf",0.717142857142857,0.08,4,0.642857142857143,0.0806451612903226,0.582823612833217,0.636379270528775
"1852","NEFSC_NEUSSpring",0.717142857142857,0.08,4,0.674418604651163,0.0815217391304348,0.759704410839968,0.896218509671728
"1853","NWFSC_WCAnn",0.717142857142857,0.08,4,0.682539682539683,0.0829694323144105,0.704853608125905,0.877112097993782
"1854","SEFSC_GOMex",0.717142857142857,0.08,4,0.5,0.0816326530612245,0.77372988533394,0.917705116058814
"1855","AFSC_Aleutians",0.858571428571429,0.08,4,0.846153846153846,0.0822510822510823,0.477045773395761,0.823898656067603
"1856","AFSC_EBS",0.858571428571429,0.08,4,0.766666666666667,0.0812407680945347,0.433530832530817,0.782094660587267
"1857","AFSC_GOA",0.858571428571429,0.08,4,0.84375,0.0806045340050378,0.544620182683354,0.787508615048425
"1858","DFO_NewfoundlandFall",0.858571428571429,0.08,4,0.853333333333333,0.0804769001490313,0.778657544608051,0.89743322132202
"1859","DFO_ScotianShelf",0.858571428571429,0.08,4,0.846153846153846,0.0808080808080808,0.679830089632619,0.957715176074913
"1860","DFO_SoGulf",0.858571428571429,0.08,4,0.642857142857143,0.0806451612903226,0.566371875770198,0.626209098582446
"1861","NEFSC_NEUSSpring",0.858571428571429,0.08,4,0.767441860465116,0.0815217391304348,0.773697615157655,0.871806262771886
"1862","NWFSC_WCAnn",0.858571428571429,0.08,4,0.857142857142857,0.0829694323144105,0.703274806474728,0.870376799093294
