"","sppocean","npres","npres.tr","npres.te","ntot","auc","auc.tt","tss","tss.tt","r2.biomass","r2.biomass.tt","r2.all","r2.all.tt","r2.pres.1deg","r2.abun.1deg","dev.pres","dev.biomass","dev.pres.null","dev.biomass.null"
"369","periphylla periphylla_Pac",506,368,138,31363,0.944310558676879,0.938186066731888,0.748604336232276,0.765411073374032,0.143666802667182,NA,8.4348933142501e-05,6.06906263536516e-06,0.26,0.01,0.37979305488184,0.972793681002476,0.184900381287987,0.941050964398888
"370","phycis chesteri_Atl",3215,2406,809,69804,0.929259676948438,0.922688062092223,0.693229477215825,0.67006575127841,0.63865122476824,NA,0.0515273930552119,0.00845517479948649,0.39,0.11,0.413697052921992,0.940338632193682,0.312098618716663,0.891725478362762
"371","pisaster brevispinus_Pac",435,278,157,31363,0.965090592314104,0.93745704073684,0.846153488012338,0.78340954502889,0.0176871259391152,NA,3.01134882048543e-06,7.32455592072078e-06,0.41,0,0.440216016641409,0.991218700316595,0.214706477789728,0.927542263829028
"372","pitar cordatus_Atl",267,111,156,69804,0.979194004388246,0.947507406272348,0.910390950354502,0.868566780111274,0.0723724779598582,NA,0.00018377332506624,4.16917895367893e-05,0.19,0,0.426231866274432,0.900745268213915,0.230689058836836,0.691184448912258
"373","placopecten magellanicus_Atl",5992,3675,2317,69806,0.866772524511194,0.843548728818205,0.647167288045672,0.65024492787982,0.0195259306127044,NA,2.54113340567848e-06,5.38496430233429e-06,0.32,0,0.26969832008596,0.829057900102411,0.172550353314412,0.395021807391781
"374","platichthys stellatus_Pac",2132,1612,520,31363,0.917122685745031,0.912704074128616,0.682968158897906,0.673332702487414,0.131770296001754,0.0808481386609087,0.0628910559602893,0.0745221363559519,0.54,0.18,0.392486423309509,0.385292860955907,0.111231839923923,0.368052218540478
"375","platylambrus granulatus_Atl",293,121,172,69804,0.959036193500542,0.940771587396088,0.891802582936039,0.852910249273211,0.0254996690915111,NA,0.000492225813930714,0.0016984185478612,0.11,0.02,0.344371741368057,0.787112619108093,0.121572568746728,0.0610807865023528
"376","platymera gaudichaudii_Pac",405,199,206,31363,0.983131347209589,0.975364097673062,0.913576369018973,0.894303568161425,0.0206731007868623,NA,1.07689224633528e-06,0.00341211486789314,0.4,0,0.532577570602817,0.808246701275007,0.165994293202377,0.647178592206188
"377","pleurobranchaea californica_Pac",744,434,310,31363,0.982363408832876,0.952154955559272,0.872630438333347,0.79367138318468,0.176691853582708,NA,0.0617767203624231,0.0115154118290153,0.7,0.07,0.612912185015338,0.97477857017988,0.164229972768806,0.902146832995797
"378","pleurogrammus monopterygius_Pac",2406,1774,632,31363,0.918830881206618,0.918458101737093,0.741956833356027,0.748436250188414,0.0309611396914908,NA,0.0117182419271016,0.00692089805242663,0.47,0.03,0.389497649155559,0.884775440304238,0.285131365040877,0.717000576723496
