"","period","model","rcp","nmet","mid","pmet","region"
"99","2061-2080",11,45,69,2070.5,0.92,"NEFSC_NEUSSpring"
"100","2061-2080",11,85,57,2070.5,0.76,"NEFSC_NEUSSpring"
"101","2061-2080",12,45,62,2070.5,0.826666666666667,"NEFSC_NEUSSpring"
"102","2061-2080",12,85,55,2070.5,0.733333333333333,"NEFSC_NEUSSpring"
"103","2061-2080",13,45,67,2070.5,0.893333333333333,"NEFSC_NEUSSpring"
"104","2061-2080",13,85,57,2070.5,0.76,"NEFSC_NEUSSpring"
"105","2081-2100",1,45,53,2090.5,0.706666666666667,"NEFSC_NEUSSpring"
"106","2081-2100",1,85,56,2090.5,0.746666666666667,"NEFSC_NEUSSpring"
"107","2081-2100",2,45,68,2090.5,0.906666666666667,"NEFSC_NEUSSpring"
"108","2081-2100",2,85,52,2090.5,0.693333333333333,"NEFSC_NEUSSpring"
"109","2081-2100",3,45,63,2090.5,0.84,"NEFSC_NEUSSpring"
"110","2081-2100",3,85,54,2090.5,0.72,"NEFSC_NEUSSpring"
"111","2081-2100",4,45,49,2090.5,0.653333333333333,"NEFSC_NEUSSpring"
"112","2081-2100",4,85,39,2090.5,0.52,"NEFSC_NEUSSpring"
"113","2081-2100",5,45,54,2090.5,0.72,"NEFSC_NEUSSpring"
"114","2081-2100",5,85,49,2090.5,0.653333333333333,"NEFSC_NEUSSpring"
"115","2081-2100",6,45,62,2090.5,0.826666666666667,"NEFSC_NEUSSpring"
"116","2081-2100",6,85,51,2090.5,0.68,"NEFSC_NEUSSpring"
"117","2081-2100",7,45,66,2090.5,0.88,"NEFSC_NEUSSpring"
"118","2081-2100",7,85,51,2090.5,0.68,"NEFSC_NEUSSpring"
"119","2081-2100",8,45,68,2090.5,0.906666666666667,"NEFSC_NEUSSpring"
"120","2081-2100",8,85,64,2090.5,0.853333333333333,"NEFSC_NEUSSpring"
"121","2081-2100",9,45,69,2090.5,0.92,"NEFSC_NEUSSpring"
"122","2081-2100",9,85,58,2090.5,0.773333333333333,"NEFSC_NEUSSpring"
"123","2081-2100",10,45,65,2090.5,0.866666666666667,"NEFSC_NEUSSpring"
"124","2081-2100",10,85,60,2090.5,0.8,"NEFSC_NEUSSpring"
"125","2081-2100",11,45,68,2090.5,0.906666666666667,"NEFSC_NEUSSpring"
"126","2081-2100",11,85,51,2090.5,0.68,"NEFSC_NEUSSpring"
"127","2081-2100",12,45,60,2090.5,0.8,"NEFSC_NEUSSpring"
"128","2081-2100",12,85,46,2090.5,0.613333333333333,"NEFSC_NEUSSpring"
"129","2081-2100",13,45,64,2090.5,0.853333333333333,"NEFSC_NEUSSpring"
"130","2081-2100",13,85,55,2090.5,0.733333333333333,"NEFSC_NEUSSpring"
"131","2006-2020",1,45,120,2013,0.895522388059702,"AFSC_EBS"
"132","2006-2020",1,85,125,2013,0.932835820895522,"AFSC_EBS"
"133","2006-2020",2,45,123,2013,0.917910447761194,"AFSC_EBS"
"134","2006-2020",2,85,123,2013,0.917910447761194,"AFSC_EBS"
"135","2006-2020",3,45,123,2013,0.917910447761194,"AFSC_EBS"
"136","2006-2020",3,85,119,2013,0.888059701492537,"AFSC_EBS"
"137","2006-2020",4,45,118,2013,0.880597014925373,"AFSC_EBS"
"138","2006-2020",4,85,119,2013,0.888059701492537,"AFSC_EBS"
"139","2006-2020",5,45,119,2013,0.888059701492537,"AFSC_EBS"
"140","2006-2020",5,85,124,2013,0.925373134328358,"AFSC_EBS"
"141","2006-2020",6,45,123,2013,0.917910447761194,"AFSC_EBS"
"142","2006-2020",6,85,127,2013,0.947761194029851,"AFSC_EBS"
"143","2006-2020",7,45,124,2013,0.925373134328358,"AFSC_EBS"
"144","2006-2020",7,85,125,2013,0.932835820895522,"AFSC_EBS"
"145","2006-2020",8,45,121,2013,0.902985074626866,"AFSC_EBS"
"146","2006-2020",8,85,123,2013,0.917910447761194,"AFSC_EBS"
"147","2006-2020",9,45,119,2013,0.888059701492537,"AFSC_EBS"
"148","2006-2020",9,85,120,2013,0.895522388059702,"AFSC_EBS"
"149","2006-2020",10,45,122,2013,0.91044776119403,"AFSC_EBS"
"150","2006-2020",10,85,121,2013,0.902985074626866,"AFSC_EBS"
"151","2006-2020",11,45,126,2013,0.940298507462687,"AFSC_EBS"
"152","2006-2020",11,85,122,2013,0.91044776119403,"AFSC_EBS"
"153","2006-2020",12,45,117,2013,0.873134328358209,"AFSC_EBS"
"154","2006-2020",12,85,120,2013,0.895522388059702,"AFSC_EBS"
"155","2006-2020",13,45,126,2013,0.940298507462687,"AFSC_EBS"
"156","2006-2020",13,85,124,2013,0.925373134328358,"AFSC_EBS"
"157","2021-2040",1,45,123,2030.5,0.917910447761194,"AFSC_EBS"
"158","2021-2040",1,85,122,2030.5,0.91044776119403,"AFSC_EBS"
"159","2021-2040",2,45,122,2030.5,0.91044776119403,"AFSC_EBS"
"160","2021-2040",2,85,120,2030.5,0.895522388059702,"AFSC_EBS"
"161","2021-2040",3,45,122,2030.5,0.91044776119403,"AFSC_EBS"
"162","2021-2040",3,85,117,2030.5,0.873134328358209,"AFSC_EBS"
"163","2021-2040",4,45,117,2030.5,0.873134328358209,"AFSC_EBS"
"164","2021-2040",4,85,121,2030.5,0.902985074626866,"AFSC_EBS"
"165","2021-2040",5,45,117,2030.5,0.873134328358209,"AFSC_EBS"
"166","2021-2040",5,85,117,2030.5,0.873134328358209,"AFSC_EBS"
