"","sppocean","ntot","ntot.1","ntot.2","npres","npres.1","npres.2","aic1","aic1null","aic2","aic2null","anova.resid.df.1","anova.resid.df.1null","anova.resid.df.2","anova.resid.df.2null","anova.resid.dev.1","anova.resid.dev.1null","anova.resid.dev.2","anova.resid.dev.2null","anova.p.1","anova.F.2","anova.p.2"
"14","aluterus schoepfi_Atl",69804,34902,34902,429,169,260,3225.32144233387,3424.36314089571,8056.29888125456,9042.72501786752,69782.6962449225,69791.1007810634,3590.79280521175,3604.01652528238,3183.96356232622,3400.29144414653,1930.40216480301,2553.11700498787,4.57756297711184e-42,87.6090432320215,1.7864451285994e-206
"15","amblyraja radiata_Atl",69804,34902,34902,20011,11556,8455,59579.7909452497,59868.2321042835,79261.2421355268,79797.597696809,69771.7623170642,69785.0009680564,20757.4214913336,20772.0261501653,59515.9590639167,59830.3160448009,54910.4095564126,56420.4835436934,3.49590521766604e-59,39.0883431044125,1.03823882853195e-110
"16","ammodytes dubius_Atl",69803,34902,34901,5923,2370,3553,29096.7235139791,29592.9251018336,30644.3287057187,30993.1049272719,69769.8511269442,69784.1465387394,6669.08109873068,6686.00354381694,29032.4309215695,29555.9627905987,37569.2442341727,39769.6787638813,1.63383827975854e-102,23.0845297109492,2.39731557734359e-70
"17","ammodytes hexapterus_Pac",31363,15681,15682,581,293,288,4419.63476680344,4413.90420621103,2072.57720529476,2220.42864145095,31333.277564068,31345.0359573223,558.824232234721,567.670814233973,4364.32684363824,4379.7395475359,1117.55038022333,1484.63460413691,0.205550840357545,20.7980365872249,5.89753394951865e-30
"18","amusium papyraceum_Atl",69804,34902,34902,1309,471,838,5008.4515631133,5129.41962646082,21884.9834537879,22079.9578683616,69777.0758355985,69792.9377402238,7483.131045306,7496.33709907568,4958.19185752368,5108.59975780076,8041.67375411848,8282.23610638795,5.52986377185272e-24,16.9517735960971,9.86530358703628e-40
"19","anarhichas denticulatus_Atl",69804,34902,34902,1491,246,1245,8382.24927341344,8814.63814053357,32124.5579817803,34136.2445112163,69776.5171780226,69791.2904100825,5758.09983737365,5773.00136645405,8331.17765696347,8790.39632299077,86091.6367212045,122460.717454031,1.5710589698595e-88,163.257001807776,0
"20","anarhichas lupus_Atl",69804,34902,34902,6389,3301,3088,33308.3112954509,33419.0339075924,28213.8338368131,28376.4060025723,69770.8890227559,69785.7380214995,7136.32634817235,7150.06781623522,33243.2063453321,33383.1639690836,21294.5029730111,21859.9905247336,1.96902809528831e-22,13.7939620653967,1.55588157899346e-32
"21","anarhichas minor_Atl",69804,34902,34902,1628,283,1345,10391.1914574856,10789.585540163,33124.6715586394,34439.3749286597,69777.8798222001,69788.4066484956,5895.29229616828,5910.03065582224,10341.6109039159,10760.1822627733,91818.7798328755,115153.931257779,2.85607191871827e-83,101.678876968809,3.7829377894795e-276
"22","anasimus latus_Atl",69804,34902,34902,743,226,517,3976.54534651813,4108.4080827284,18483.2901843142,18762.0902732616,69783.0056402769,69792.8093498341,6919.51744509519,6931.98694826673,3936.57001272431,4087.31569995693,5777.55349520964,6035.39273372802,1.98103350159123e-27,24.7656268551314,3.26965578785042e-57
"23","anchoa hepsetus_Atl",69804,34902,34902,2789,1267,1522,12264.3247457862,12333.2083944679,22289.5241367662,22547.3413401616,69776.7473899552,69788.4676361459,5951.1219504205,5965.0223385025,12212.8521657301,12303.2317469231,14412.0112412915,15116.599361845,3.08953943918596e-14,20.9323920103787,1.83223594320359e-52
"24","anchoa mitchilli_Atl",69803,34901,34902,1937,1046,891,11294.5806530286,11519.3910303669,29522.9296806179,29678.4453848371,69772.0091572462,69787.0027155625,5097.49378719468,5112.01859603359,11232.9820634239,11487.5988865998,93886.5436136592,97303.0386704691,1.37593975556943e-45,12.7731156880827,4.10437524744606e-31
"25","ancylopsetta dilecta_Atl",69804,34902,34902,663,343,320,3355.50970845734,3384.18942451194,7378.4800316562,7435.76413450303,69778.1319413525,69789.1060937898,3826.30686137363,3838.22470483392,3307.60399870379,3355.74621266332,1508.66142609231,1540.53562987744,1.31879377350563e-06,6.78441785620306,3.60958117399503e-12
"26","anoplopoma fimbria_Pac",31363,15681,15682,9799,5325,4474,20601.266086172,20784.5337108999,35516.0721490902,35562.0500420185,31329.158565929,31344.0268558044,9766.29914316493,9780.4166295409,20535.4689079942,20747.1018903359,21376.8114100366,21535.089069892,7.60552761648604e-37,5.12294535733813,8.87794080171813e-10
"27","antennarius radiosus_Atl",69804,34902,34902,594,324,270,3691.9368305874,3676.04694327132,7298.72002627048,7652.93836851936,69781.2856787963,69790.7528789331,3758.02501887746,3769.55402199254,3650.1402161616,3650.97567624901,1502.10784397994,1659.73092338645,0.999851442607714,34.2074333251039,2.50207590882475e-73
"28","anthoptilum grandiflorum_Pac",31363,15681,15682,437,9,428,2572.3728176122,2638.87479539638,7537.20156266429,8090.64041733155,31340.2183994161,31346.601459739,1906.47211836885,1915.4008257869,2529.14055971462,2607.59210605893,5463.58295844571,7344.06658416446,1.25972664100782e-14,73.5326582693824,5.29453051262641e-116
"29","antimora microlepis_Pac",31363,15681,15682,1051,225,826,2867.12671350591,2972.25646544999,9865.36662553459,10123.8953706809,31333.9865317013,31346.0347084321,2147.56611948927,2161.19792886305,2811.88571766621,2939.11030237124,11471.1799521371,13069.6753879192,2.35910593784459e-21,21.9658654020153,5.85734201773168e-52
"30","antimora rostrata_Atl",69804,34903,34901,2363,860,1503,6107.05630514163,6227.14938400364,17238.5588873143,17990.6228156666,69773.9556896504,69787.0038693207,3618.95242561935,3633.00856411777,6049.87466811651,6193.87071581686,23599.1875155151,29206.438460067,3.53026014120478e-24,61.1926867337065,7.56331593802583e-156
"31","aphrocallistes vastus_Pac",31363,15681,15682,1735,715,1020,10027.3324330946,10319.8980428721,14227.0931006916,14560.4713310188,31334.114648683,31345.5109812355,2250.23997989532,2265.01232703716,9973.27380522472,10286.6321854947,66068.5022332833,77396.0640620475,2.63976802445603e-60,26.1288115946676,4.44841761342521e-67
"32","apristurus brunneus_Pac",31363,15681,15682,2183,282,1901,4879.83055419141,4946.35333360758,13938.012204909,14686.4585318642,31331.7267994508,31346.1507127849,3647.06957107723,3660.02308114249,4819.03049642574,4913.69341939557,9379.94402213938,11573.5647251624,7.56049176082836e-14,65.8636338637974,1.00007663989209e-155
"33","apristurus profundorum_Atl",69804,34902,34902,298,22,276,2119.61045738879,2099.84571455582,17836.4519741924,18992.5567456691,69785.8925592832,69790.8973405417,4575.06910782743,4580.30594411199,2083.98967393703,2074.20382374671,12906.8489230287,16637.7101377831,NA,252.556459119478,8.93812092246466e-249
"34","argentina silus_Atl",69804,34903,34901,1955,1147,808,12514.693625617,12531.6604758482,18594.7067254851,18651.9997076633,69773.5971731537,69786.1014596138,3210.35220675777,3225.04661960752,12456.558608908,12496.6350700918,57528.0342148242,59062.3964560943,9.7662316686347e-05,5.82882770991184,7.23317036902268e-12
"35","argis dentata_Atl",69804,34902,34902,3613,686,2927,12519.4579209297,13611.1543295809,39848.7198889939,42574.1904652413,69783.6053890352,69791.0673766703,7882.03135139881,7895.0081761536,12480.3472800106,13585.8549156245,70757.8407427826,100178.929346159,6.28163446625902e-234,252.566045132394,0
"36","argis dentata_Pac",31363,15680,15683,498,288,210,4420.08502096074,4547.51713970232,5701.56033043664,6072.30521693221,31341.7614841951,31350.0517149257,1284.02554078035,1297.02384928019,4380.81652965768,4523.1233730075,5627.73569074064,7610.33848518599,1.21501741424297e-26,34.8108585843835,4.18268314647146e-75
"37","argis lar_Pac",31363,15680,15683,398,352,46,3334.46892523194,3435.03425087098,4754.0798229803,5366.74159312209,31342.4805788529,31350.3225960238,1182.37584989411,1197.01246444821,3296.49021995725,3411.83748473045,3388.19475770719,5740.22221451636,2.41661464443797e-21,56.1337962789765,3.20586751151576e-124
"38","ariopsis felis_Atl",69804,34902,34902,690,457,233,3248.05885967753,3410.28790782374,8417.51547924541,8562.01281305713,69783.5963815797,69790.9768058676,3851.16057662228,3865.29255503809,3208.91628879465,3385.02626793587,1957.63938988601,2046.14465458312,2.44384878235496e-34,12.3235879746216,6.13902845483904e-29
"39","aspidophoroides bartoni_Pac",31363,15680,15683,735,357,378,5381.62946863681,5585.28351569617,6501.59902988416,6975.36788670879,31338.513887018,31348.0342434661,1521.07249990203,1534.03950693338,5335.65929265623,5557.13083968083,5776.22227680227,7969.44940912421,2.41911515849575e-42,44.5565930010708,8.98659063468731e-97
"40","aspidophoroides monopterygius_Atl",69803,34903,34900,4998,1932,3066,25814.9347338732,27054.6540187883,30167.0780151275,31712.9851478957,69772.7580366544,69785.0056846911,6255.02948265949,6270.03936143816,25756.5962299425,27018.9172849593,44249.3655559098,56834.7742999857,1.17461348815292e-262,118.553992985411,0
"41","asterias amurensis_Pac",31363,15681,15682,6907,4577,2330,12739.2035877852,12980.2019191306,32422.551815895,34651.1827112778,31336.8263596344,31345.5965399893,7422.22641590134,7437.00187173952,12688.8794059301,12946.705160259,33490.6226159325,45330.4028963273,1.48526391273247e-50,177.607376607219,0
"42","astropecte cigulatus_Atl",69804,34902,34902,531,80,451,2872.88569376223,3136.35619899303,16183.0368288372,16417.7484670624,69783.1146528144,69792.1589129815,6706.49318967452,6718.84893013269,2834.18940484982,3114.28648714008,4326.07703693049,4495.90213751197,4.66794549293366e-55,21.3091718008969,4.12545617666828e-48
"43","astropecte duplicatus_Atl",69804,34902,34902,907,154,753,4726.19305672843,5238.30961990533,19485.8063985157,20168.5318336986,69781.2591550104,69791.6671992616,7082.01463477855,7094.01029546354,4682.55586150528,5214.99436501381,6402.4119636389,7071.44761271684,1.17344270055603e-107,61.6951441852662,5.00325277680665e-143
"44","atheresthes evermanni_Pac",31363,15681,15682,1776,838,938,4941.52847512799,4999.56592175172,19934.7047933851,20272.0396178241,31336.442376636,31349.0181986972,3689.39595192089,3704.00349368962,4890.72092205835,4972.34556341909,45524.0791037278,50211.5439637525,3.59741520994786e-12,26.0138813322768,2.96274357362358e-68
"45","atheresthes stomias_Pac",31363,15681,15682,13532,5952,7580,18995.4951810735,19275.8076301185,77397.2780530031,78980.0717737345,31330.0921366971,31345.002979874,14627.0871103521,14642.0103180868,18930.6889871197,19240.0043426043,167702.166790638,187191.072147545,5.62633739163548e-57,113.910206384164,0
"46","balistes capriscus_Atl",69804,34902,34902,986,383,603,6362.5022892747,6490.8152210681,11435.6672873624,11471.8674033541,69783.2862628018,69792.4016988829,4147.43579320912,4161.15391726735,6324.58862089043,6468.73110022131,3726.15017880044,3782.08269017616,1.69934024535026e-26,4.5394513016318,4.33583439755675e-08
"47","bathyagonus nigripinnis_Pac",31363,15681,15682,515,229,286,3782.0207003392,3776.48108306743,1410.38227942377,1416.51278199977,31335.5279243468,31344.8734877921,486.588692722087,497.895396870133,3731.60292657648,3742.41854908119,419.89031920726,442.721969954476,0.316785035888065,2.35159882774359,0.00727371123302143
"48","bathybembix bairdii_Pac",31363,15681,15682,837,32,805,2385.05190068183,2487.86558275572,9762.26627618159,10324.2862036444,31335.6675711223,31347.2107162621,2305.11989379558,2314.1291592848,2332.89279453916,2457.54455414398,8792.37849252567,11275.3612935622,4.14555779397548e-21,72.2742873898238,6.81826502317701e-118
"49","bathylagus euryops_Atl",69804,34902,34902,1555,165,1390,5774.19967978753,5898.45617801125,23164.1603137071,23954.979750792,69777.963422978,69788.9786078264,5827.5479646029,5837.06629386589,5725.45909310014,5869.77797416466,17765.4959088269,20396.0535202565,2.19486870944775e-25,90.6744286676653,4.9034617768991e-167
"50","bathymaster signatus_Pac",31363,15681,15682,3166,1845,1321,16820.1458003676,17237.6268618203,19043.0510784478,19767.6464877441,31330.7779275396,31345.4059564024,3681.84178442713,3696.01444479601,16758.7339432764,17203.8666581465,36040.4193933603,44106.7026263794,1.14557587180302e-85,58.169231011026,8.398288435564e-150
"51","bathypolypus arcticus_Atl",69800,34900,34900,1179,23,1156,6478.10816455835,7346.37381198615,22882.2959805014,24106.0882237213,69778.9005699883,69784.7592511526,4051.00014798919,4056.00336541275,6438.07119755076,7317.35441989447,65034.8008921395,88052.1273164781,7.83922353851416e-187,286.570887533555,2.61971299713904e-263
"52","bathyraja aleutica_Pac",31363,15681,15682,1080,442,638,7359.71825889756,7491.11916481763,16352.2673841727,17569.1909513218,31337.1169814494,31348.4329342559,2724.29482401868,2739.23918482852,7313.00123004084,7464.36454495364,59517.9315047573,93539.4251278307,1.20477425338934e-26,104.244325747634,4.6571803262449e-254
"53","bathyraja interrupta_Pac",31363,15681,15682,814,323,491,5477.98916165641,5535.88822742702,13241.0695060171,13955.3710356875,31336.1563013658,31349.8580672131,2731.8408434379,2742.60794911353,5428.77905757587,5512.60044797329,19280.585927761,25161.2852136616,4.14112094195362e-12,77.4332467547348,2.22239666442645e-149
"54","bathyraja maculata_Pac",31363,15681,15682,680,315,365,3474.91893287504,3540.01364080525,12827.6102705743,14191.232388616,31335.0866532749,31348.0117434359,2599.30479646393,2608.01361700948,3420.42086469824,3510.44038045428,20018.3385132328,33861.9001151154,1.28358093559634e-13,206.491280399054,2.40266618030492e-289
"55","bathyraja parmifera_Pac",31363,15681,15682,722,399,323,4720.23888954073,4787.92107867182,13553.6409855305,13956.1057374978,31336.924186514,31348.7064880572,2635.23338800289,2650.14047701124,4673.51035298603,4761.76213817265,24620.8345738538,28944.4270921978,8.54144608086992e-14,31.0564434034115,9.51339692224956e-82
"56","bathyraja spinicauda_Atl",69804,34902,34902,540,101,439,3594.53676788851,3597.53020392841,18595.5708707135,18719.2119965364,69777.7614975973,69788.2754136387,4812.14570595568,4822.38746492556,3544.60149249647,3567.61386575057,13076.7958282456,13468.7820840301,0.0139072189426346,14.0889706166177,1.99010211845754e-25
"57","bellator militaris_Atl",69804,34902,34902,517,259,258,3598.15543391893,3619.16227218457,8236.09323769565,8440.1168667237,69784.6284416393,69793.2537902601,3677.22341199664,3694.00090778061,3561.3102479804,3598.55797108037,1967.93941990643,2097.49518299917,1.75488090055621e-05,14.4315451660872,1.80010523127529e-40
"58","beringius behringi_Pac",31363,15680,15683,760,532,228,5359.43743518631,5373.00826168949,6996.94061954288,7393.68839006181,31338.6531236782,31348.9834990335,1544.31522147926,1559.01769946992,5314.60664313406,5345.38681227396,7509.27153363587,9834.74015745895,0.000789025053899537,32.5433335478687,5.42660963883844e-80
"59","berryteuthis magister_Pac",31363,15681,15682,2667,1332,1335,11524.340130622,11528.5464541407,9753.83174417932,9770.09392769973,31334.5132339866,31345.5208148256,2641.89574303036,2649.48953794008,11470.2242364161,11495.4033271022,5943.23835858924,6011.82087210566,0.0086152491086503,4.01773035160953,0.000132392592671008
"60","bollmannia communis_Atl",69804,34902,34902,727,423,304,4496.75663697086,4555.89346670474,19455.8911501124,19928.2136865787,69781.6154224968,69792.7436804935,6901.01211431381,6914.20526717889,4454.11540287937,4534.36699596793,6668.78645462415,7166.6987807918,1.50967416922246e-12,39.0558674532635,7.69435489832954e-98
"61","boltenia ovifera_Pac",31363,15680,15683,1940,779,1161,7754.31623837922,8424.90129183329,12837.2406049582,13042.9400636709,31338.6570219019,31347.9132517975,2724.36050336422,2739.09363303064,7707.18890066007,8395.6386366752,16626.4250849436,18097.5179021326,3.71351364274552e-142,16.3680802821343,5.13491924028014e-41
"62","boreogadus saida_Atl",69804,34902,34902,5177,1024,4153,14389.95229111,15347.2134673206,54665.3566612142,58298.2303203302,69777.4050819478,69788.9425283009,10601.0911070208,10614.0356889735,14339.1453342339,15317.9214618116,105937.927452751,149453.087307117,2.4097367862893e-202,336.417341843664,0
"63","boreogadus saida_Pac",31363,15682,15681,1325,591,734,4339.80637158292,4441.29975975587,15087.2870725729,15235.4892148761,31340.318385843,31351.2543137988,3303.1627546398,3318.0247890938,4297.18352497296,4419.07013417247,17718.8968838335,18683.8569602548,6.97652645932536e-21,12.106935104486,1.57639296436025e-29
"64","bothrocara brunneum_Pac",31363,15681,15682,1000,132,868,2669.81903590106,2697.03549607643,8677.92074690806,9285.11944906562,31337.0379921109,31346.1093775121,2098.11885053138,2110.23406963544,2622.11778482493,2664.21699589453,7150.76210461012,9616.11755747685,3.35010225326308e-06,59.7363801232469,1.45722923853114e-125
"65","bothus robisi_Atl",69804,34902,34902,272,3,269,1712.53313364043,1780.84942953025,10796.4549311954,12402.3382394236,69790.1224474236,69794.8685254393,6447.26368082697,6459.40858527479,1685.86054919972,1763.57432927227,1992.02033347058,2562.41257158062,1.72056991802894e-15,152.01661559845,0
"66","bregmaceros atlanticus_Atl",69804,34902,34902,344,138,206,2681.32154619201,2728.63353885773,14523.0271890398,14542.6155361873,69785.8976491905,69794.7187934118,6520.12138254411,6534.00001517326,2647.9047935258,2711.46094678514,3495.49394619962,3520.52732607182,2.27788394035212e-10,3.36466237335585,2.08364074040559e-05
"67","brevoortia patronus_Atl",69804,34902,34902,402,161,241,2485.93147110907,2497.40641443207,18877.9105505778,19065.8761584794,69784.398215441,69794.1469618599,6578.49068236035,6589.48729513813,2449.71331984526,2479.10880847483,6689.39406598797,6905.23993517737,0.00091554774834872,19.304876759949,9.63798621018017e-39
"68","brisaster latifrons_Pac",31362,15680,15682,2350,187,2163,10710.2743624441,11259.8523521603,17907.7563421563,18458.779182546,31333.8762935616,31344.4592041299,3445.39389287262,3460.02404496321,10658.4241640938,11226.3080035531,34417.5767096043,40655.8942190766,4.41831496395056e-115,42.6947969289248,3.49225226888424e-113
"69","brosme brosme_Atl",69803,34902,34901,2375,1884,491,14472.0759989608,14697.3269001223,20379.9196422023,20770.5420552812,69770.6465939461,69785.0831270244,3632.7075859277,3645.41458578782,14409.5459913926,14662.2333699855,55018.3410448145,61617.5944382371,1.5239102524567e-45,34.3013465975918,3.44735990271027e-80
"70","brotula barbata_Atl",69804,34902,34902,704,434,270,4323.19256243164,4349.66625134307,19479.5936289984,19910.2724710772,69781.9566628261,69792.177468541,6877.1935295227,6891.04119273775,4281.72917378987,4327.07249458165,6730.91674406864,7192.18660868284,2.26299124653051e-06,34.0368221009202,1.28009296299356e-88
"71","buccinum angulosum_Pac",31363,15682,15681,2083,1231,852,8836.43581304181,8888.45437633324,20793.7920056903,21364.8405204782,31338.8706470835,31350.8870866418,4061.64311564115,4076.04282767087,8789.40681212527,8864.70951360133,38072.1779062338,44065.360842624,3.27256807690110e-11,44.4148900073959,1.43158695977488e-117
"72","buccinum plectrum_Pac",31363,15680,15683,878,495,383,6415.37284271507,6478.53656810692,7920.61963065177,8412.57366034761,31334.4061051376,31346.8898460191,1662.84245758347,1677.05042597034,6361.53590476099,6447.5973471143,10260.6330422833,13937.3544248678,4.68052679626035e-13,41.9671757165445,5.23009832261053e-100
"73","buccinum polare_Pac",31363,15682,15681,1687,976,711,7758.4218748371,7904.22140967222,19216.8862976516,19626.453662196,31339.9861318311,31350.7742308802,3665.0962791862,3680.01059201921,7714.3509608545,7880.61788184515,38611.0264452545,43474.9175213411,5.11984976579984e-30,30.9626371291575,1.84741399017778e-83
"74","buccinum scalariforme_Pac",31363,15680,15683,2958,1786,1172,12631.9473626705,12798.9255206776,17070.9176445118,17876.0519173775,31336.5292072328,31347.7056760611,3742.2865947519,3757.01557548385,12582.1456064539,12769.2223133998,20022.5411304798,24965.0035338757,4.5797398955556e-34,62.7377379730264,7.44417911852549e-167
"75","calappa sulcata_Atl",69804,34902,34902,1347,551,796,7059.76261215622,7120.53699252127,24010.2874518212,24632.6740884439,69786.0149523633,69795.0945708243,7520.66846570378,7534.24328941628,7025.78434795724,7103.82528608456,10555.1167529161,11501.8348817081,4.33417081399912e-13,49.697529024291,2.79166092808218e-129
"76","callinectes sapidus_Atl",69802,34901,34901,1935,831,1104,9896.03703225202,9928.61652050534,15991.8993818735,16115.5444304782,69777.1096271208,69788.0236574209,5096.42296014196,5110.46597131421,9847.58630525488,9901.09250536471,6717.12884949063,6917.44436854202,1.34855237852011e-07,10.8247841686634,7.69769058909492e-25
"77","callinectes similis_Atl",69804,34902,34902,4449,2163,2286,11044.9998173138,11077.7885050082,42365.8117412066,42620.8873518354,69780.3236865916,69791.8434837949,10623.1303713124,10636.6797917936,10999.6726327645,11054.6337947549,33119.6629475909,34006.8738805843,1.23126983925643e-07,21.0040013633093,5.32503831976479e-52
"78","cancer borealis_Atl",69802,34902,34900,4010,1001,3009,22325.237023139,23402.1453018413,30256.1199629653,30458.848424337,69772.4164444321,69784.4446439066,5267.73230894664,5280.61753122436,22268.0113621565,23368.4683915472,92647.4317338992,96719.1062680747,4.94858207649626e-228,17.969500275657,3.41806564234329e-41
"79","cancer irroratus_Atl",69795,34898,34897,4433,1545,2888,24731.2625940817,26844.292212983,35829.210520666,36690.8230452674,69763.0026970178,69778.0003978909,6140.02783426773,6155.00772876722,24667.51173378,26810.369318147,118713.769471025,137152.298821796,0,63.6671835093161,1.63493313101904e-179
"80","caranx crysos_Atl",69804,34902,34902,754,313,441,4738.15525901468,4829.97443027414,14120.2182703473,14540.2848887227,69779.1195585069,69790.4740796348,3915.97234766443,3931.00004763743,4691.57909847466,4804.59816941675,8158.4101773693,9140.57511458743,7.01322674005062e-19,31.3776399647763,1.52885054936596e-85
"81","careproctus melanurus_Pac",31363,15681,15682,1625,270,1355,6425.01852862571,6528.29008573702,12177.2736159116,12928.6642806988,31332.710982917,31346.3862945111,2720.18875781874,2735.00075099756,6367.95991797775,6497.12730825252,13118.7654980158,17413.780743679,6.80441174650369e-21,60.1410821873005,4.68508395293313e-155
"82","careproctus rastrinus_Pac",31363,15681,15682,765,329,436,4944.41605036525,5071.21644883876,5669.28604868624,5888.86590978425,31333.3055362866,31347.2836674149,1280.70287313486,1295.01878993119,4887.69620389315,5041.70761929973,5492.51214399932,6625.68241071825,1.10046138884039e-25,18.474232360104,2.52299559605371e-43
"83","caulolatilus intermedius_Atl",69804,34902,34902,468,254,214,2733.40677359425,2790.61484026304,16357.0483328626,16604.5953660372,69781.7824823874,69790.1624342941,6640.65845221779,6655.19946952523,2691.65328385683,2764.11189800483,4496.0804926686,4685.88912979099,2.47765068472078e-12,19.2818375181123,4.55319682208288e-50
"84","centropristis philadelphica_Atl",69804,34902,34902,3899,2215,1684,10362.5090491162,10474.5520478056,23682.8370696504,23831.1096165107,69778.6064080481,69789.4084816974,7059.03646629465,7074.00277969888,10314.8183592991,10446.7391699337,11614.171173039,11908.6800129599,5.49483255135787e-23,11.9609753177411,9.41415073145302e-30
"85","centropristis striata_Atl",69804,34902,34902,2590,1168,1422,13929.2642941337,14357.2401665148,37763.448644916,38326.0016124422,69774.2339926203,69789.0038953379,6531.58418434598,6548.00053732693,13871.2747935315,14327.4891711382,120297.580476218,131696.179944358,6.72833848523395e-88,37.7038987310559,2.42560783185616e-115
"86","centroscyllium fabricii_Atl",69804,34903,34901,988,329,659,5366.65185787962,5581.60458046843,11945.22169098,12434.1108259121,69771.7956294137,69786.0144189295,2244.32391096384,2258.02063513402,5303.99467605531,5545.93552308148,24661.2459678993,30914.5706308557,1.83116125847962e-43,41.5718245858265,7.42020554173774e-100
"87","cetropristis ocyura_Atl",69804,34902,34902,418,63,355,2788.11401182517,2914.90935843662,17861.2595436415,18675.9661255896,69785.5976724561,69794.1742311542,6593.27132215013,6605.2236075912,2753.57104175465,2896.09526977748,5708.86917625357,6479.89739635784,1.67412515256878e-26,74.5062911458758,2.93785171359902e-171
