"","sppocean","period","zone","model","rcp","npres","sumwtcpue","totalpres","totalwtcpue","proppres","propwtcpue","metgoal"
"32","actinauge verrilli_Pac","2021-2040",2,11,85,46,0.421482211808997,468,3.69402834710493,0.0982905982905983,0.114098261357231,FALSE
"33","actinauge verrilli_Pac","2021-2040",2,12,45,53,0.38482243804797,506,3.07512214795017,0.104743083003953,0.125140537361902,TRUE
"34","actinauge verrilli_Pac","2021-2040",2,12,85,50,0.410368211595856,509,3.4649857885502,0.0982318271119843,0.118432870042898,FALSE
"35","actinauge verrilli_Pac","2021-2040",2,13,45,49,0.463881656924891,479,3.8152711912693,0.102296450939457,0.121585500392847,TRUE
"36","actinauge verrilli_Pac","2021-2040",2,13,85,50,0.395362730745803,501,3.21473338913607,0.0998003992015968,0.122984609573503,FALSE
"37","actinauge verrilli_Pac","2021-2040",2,2,45,53,0.467427609816611,517,3.83189451631647,0.102514506769826,0.1219834230369,TRUE
"38","actinauge verrilli_Pac","2021-2040",2,2,85,53,0.433319248416596,523,3.63766088029135,0.101338432122371,0.119120298091638,TRUE
"39","actinauge verrilli_Pac","2021-2040",2,3,45,58,0.369158499994985,535,3.09080154726058,0.108411214953271,0.119437788013978,TRUE
"40","actinauge verrilli_Pac","2021-2040",2,3,85,58,0.357728411352117,569,2.92437009155792,0.101933216168717,0.122326655023866,TRUE
"41","actinauge verrilli_Pac","2021-2040",2,4,45,55,0.375435925533144,554,3.05545842184094,0.0992779783393502,0.122873845328565,FALSE
"42","actinauge verrilli_Pac","2021-2040",2,4,85,58,0.387207010155486,571,3.29879797565496,0.101576182136602,0.117378212613523,TRUE
"43","actinauge verrilli_Pac","2021-2040",2,5,45,54,0.334369191052254,514,2.81367020920791,0.105058365758755,0.118837378296152,TRUE
"44","actinauge verrilli_Pac","2021-2040",2,5,85,49,0.33494809090075,482,2.76653462818233,0.101659751037344,0.121071353124836,TRUE
"45","actinauge verrilli_Pac","2021-2040",2,6,45,51,0.390920885358449,516,3.24786946979555,0.0988372093023256,0.12036225254553,FALSE
"46","actinauge verrilli_Pac","2021-2040",2,6,85,50,0.412706066359758,496,3.5366438974872,0.100806451612903,0.116694266746219,TRUE
"47","actinauge verrilli_Pac","2021-2040",2,7,45,57,0.419377249139646,540,3.64910434123827,0.105555555555556,0.11492607772277,TRUE
"48","actinauge verrilli_Pac","2021-2040",2,7,85,52,0.411770640128335,485,3.65616755746749,0.107216494845361,0.112623569258285,TRUE
"49","actinauge verrilli_Pac","2021-2040",2,8,45,47,0.430202809363305,468,3.72725091601004,0.10042735042735,0.115420941347257,TRUE
"50","actinauge verrilli_Pac","2021-2040",2,8,85,55,0.403728160066859,519,3.6274002378708,0.10597302504817,0.111299590227694,TRUE
"51","actinauge verrilli_Pac","2021-2040",2,9,45,53,0.410506332968017,507,3.33995873180409,0.104536489151874,0.122907606330298,TRUE
"52","actinauge verrilli_Pac","2021-2040",2,9,85,53,0.390471109119521,510,3.20086202058977,0.103921568627451,0.121989359931102,TRUE
"53","actinauge verrilli_Pac","2041-2060",2,1,45,57,0.391502206230649,519,3.50028964600817,0.109826589595376,0.111848517072617,TRUE
"54","actinauge verrilli_Pac","2041-2060",2,1,85,58,0.382774206567113,546,3.41332347061257,0.106227106227106,0.112141204858741,TRUE
"55","actinauge verrilli_Pac","2041-2060",2,10,45,55,0.443742515933256,520,3.75778163928618,0.105769230769231,0.118086296258968,TRUE
"56","actinauge verrilli_Pac","2041-2060",2,10,85,56,0.457271669482031,522,3.74957178579583,0.10727969348659,0.121953037734675,TRUE
"57","actinauge verrilli_Pac","2041-2060",2,11,45,46,0.319074666984533,424,3.04308492136573,0.108490566037736,0.104852370285261,TRUE
"58","actinauge verrilli_Pac","2041-2060",2,11,85,38,0.21047027345962,352,2.11777024224231,0.107954545454545,0.0993829591432791,TRUE
"59","actinauge verrilli_Pac","2041-2060",2,12,45,54,0.419172063249374,537,3.54349586225393,0.100558659217877,0.118293368905685,TRUE
"60","actinauge verrilli_Pac","2041-2060",2,12,85,54,0.362382501588992,526,3.22884228990114,0.102661596958175,0.112232951953837,TRUE
"61","actinauge verrilli_Pac","2041-2060",2,13,45,47,0.406881150876768,458,3.38677101901868,0.102620087336245,0.120138370321434,TRUE
"62","actinauge verrilli_Pac","2041-2060",2,13,85,60,0.44165410162931,548,3.95880955856742,0.109489051094891,0.111562351028861,TRUE
"63","actinauge verrilli_Pac","2041-2060",2,2,45,57,0.471791222988126,542,4.00324404487119,0.105166051660517,0.117852226269484,TRUE
"64","actinauge verrilli_Pac","2041-2060",2,2,85,54,0.411831134877998,526,3.78584082368168,0.102661596958175,0.108781946747961,TRUE
"65","actinauge verrilli_Pac","2041-2060",2,3,45,56,0.381022595023369,535,3.19725086310979,0.104672897196262,0.11917194218935,TRUE
"66","actinauge verrilli_Pac","2041-2060",2,3,85,61,0.399744841064592,582,3.56531955555417,0.104810996563574,0.112120340080556,TRUE
"67","actinauge verrilli_Pac","2041-2060",2,4,45,59,0.367272594974111,589,3.11301908961596,0.100169779286927,0.117979551169222,TRUE
"68","actinauge verrilli_Pac","2041-2060",2,4,85,58,0.304148239502477,554,2.78823359026258,0.104693140794224,0.109082768590359,TRUE
"69","actinauge verrilli_Pac","2041-2060",2,5,45,55,0.343088996571153,547,2.83736579106996,0.10054844606947,0.120918140921751,TRUE
"70","actinauge verrilli_Pac","2041-2060",2,5,85,54,0.380371454370977,509,3.21708171661809,0.106090373280943,0.118234937087901,TRUE
"71","actinauge verrilli_Pac","2041-2060",2,6,45,55,0.374222472551943,538,3.31693765160161,0.102230483271375,0.112821678264361,TRUE
"72","actinauge verrilli_Pac","2041-2060",2,6,85,46,0.336985628457157,423,2.98281092086162,0.108747044917258,0.112975859817428,TRUE
"73","actinauge verrilli_Pac","2041-2060",2,7,45,55,0.364294897937985,509,3.3755679821498,0.108055009823183,0.107921066873604,TRUE
"74","actinauge verrilli_Pac","2041-2060",2,7,85,48,0.354423792865758,447,3.30009129645704,0.10738255033557,0.107398178118971,TRUE
"75","actinauge verrilli_Pac","2041-2060",2,8,45,46,0.447247017759474,467,3.76648902823865,0.0985010706638116,0.118743746339445,FALSE
"76","actinauge verrilli_Pac","2041-2060",2,8,85,53,0.367743903531497,499,3.37771726297199,0.106212424849699,0.108873500918169,TRUE
"77","actinauge verrilli_Pac","2041-2060",2,9,45,56,0.47171986563379,524,3.85632780573263,0.106870229007634,0.122323591094241,TRUE
"78","actinauge verrilli_Pac","2041-2060",2,9,85,57,0.461700330256562,540,3.82764928751795,0.105555555555556,0.120622422686994,TRUE
"79","actinauge verrilli_Pac","2061-2080",2,1,45,56,0.386375732871202,530,3.51274422950247,0.105660377358491,0.109992560695467,TRUE
"80","actinauge verrilli_Pac","2061-2080",2,1,85,51,0.28420640816638,485,2.67639532317246,0.105154639175258,0.10618999581478,TRUE
"81","actinauge verrilli_Pac","2061-2080",2,10,45,56,0.428653654270331,535,3.69450826834986,0.104672897196262,0.116024548636831,TRUE
"82","actinauge verrilli_Pac","2061-2080",2,10,85,56,0.328767003364683,550,2.97062504499329,0.101818181818182,0.110672669349095,TRUE
"83","actinauge verrilli_Pac","2061-2080",2,11,45,31,0.147460312717278,292,1.56549821268297,0.106164383561644,0.0941938556828875,TRUE
"84","actinauge verrilli_Pac","2061-2080",2,11,85,15,0.0868676693144377,167,0.942357740593669,0.0898203592814371,0.0921812020769443,FALSE
"85","actinauge verrilli_Pac","2061-2080",2,12,45,54,0.388090187104408,543,3.35259450130647,0.0994475138121547,0.115758164893838,FALSE
"86","actinauge verrilli_Pac","2061-2080",2,12,85,49,0.299468388761839,480,2.75391270969137,0.102083333333333,0.108742876165963,TRUE
"87","actinauge verrilli_Pac","2061-2080",2,13,45,51,0.455811057711708,497,3.8858789521322,0.10261569416499,0.117299345483112,TRUE
"88","actinauge verrilli_Pac","2061-2080",2,13,85,60,0.421757868815162,573,3.80279822638548,0.104712041884817,0.110907243484238,TRUE
"89","actinauge verrilli_Pac","2061-2080",2,2,45,60,0.429372219144195,561,3.89560705339193,0.106951871657754,0.110219591775905,TRUE
"90","actinauge verrilli_Pac","2061-2080",2,2,85,43,0.255294625161,414,2.64897153256332,0.103864734299517,0.0963749976255728,TRUE
"91","actinauge verrilli_Pac","2061-2080",2,3,45,57,0.428584404085603,548,3.66567591409361,0.104014598540146,0.1169182475837,TRUE
"92","actinauge verrilli_Pac","2061-2080",2,3,85,61,0.339673598256517,588,3.1748819762888,0.103741496598639,0.10698778751252,TRUE
"93","actinauge verrilli_Pac","2061-2080",2,4,45,49,0.235031140022684,423,2.35808191256987,0.115839243498818,0.0996704731798499,TRUE
"94","actinauge verrilli_Pac","2061-2080",2,4,85,34,0.127326981094827,310,1.22476934054714,0.109677419354839,0.103959967709468,TRUE
"95","actinauge verrilli_Pac","2061-2080",2,5,45,54,0.342873349967859,530,2.83306293865202,0.10188679245283,0.121025673411618,TRUE
"96","actinauge verrilli_Pac","2061-2080",2,5,85,40,0.29680339574878,374,2.65202332004258,0.106951871657754,0.111915831774818,TRUE
"97","actinauge verrilli_Pac","2061-2080",2,6,45,54,0.344529164363308,518,3.03380786351457,0.104247104247104,0.113563277525486,TRUE
"98","actinauge verrilli_Pac","2061-2080",2,6,85,32,0.183379683584754,283,1.75624272719338,0.113074204946996,0.104415910594437,TRUE
"99","actinauge verrilli_Pac","2061-2080",2,7,45,57,0.34721188048087,501,3.26708802001537,0.11377245508982,0.106275643127373,TRUE
"100","actinauge verrilli_Pac","2061-2080",2,7,85,45,0.303636000135743,428,2.90826539724653,0.105140186915888,0.104404501880474,TRUE
"101","actinauge verrilli_Pac","2061-2080",2,8,45,44,0.375036996568037,444,3.38523793131266,0.0990990990990991,0.110786008008191,FALSE
"102","actinauge verrilli_Pac","2061-2080",2,8,85,43,0.193127629207108,363,1.92943873776046,0.118457300275482,0.100095237763949,TRUE
"103","actinauge verrilli_Pac","2061-2080",2,9,45,57,0.46633960470952,546,3.91279931770683,0.104395604395604,0.119183113378487,TRUE
"104","actinauge verrilli_Pac","2061-2080",2,9,85,54,0.3776857088313,518,3.39746724814829,0.104247104247104,0.111166843193897,TRUE
"105","actinauge verrilli_Pac","2081-2100",2,1,45,59,0.374050176947788,545,3.34555655607125,0.108256880733945,0.111805067610946,TRUE
"106","actinauge verrilli_Pac","2081-2100",2,1,85,19,0.0846829365596357,200,0.896901411524526,0.095,0.0944172185164635,FALSE
"107","actinauge verrilli_Pac","2081-2100",2,10,45,53,0.447973943077842,518,3.79282487679039,0.102316602316602,0.1181108956069,TRUE
"108","actinauge verrilli_Pac","2081-2100",2,10,85,48,0.244579098138627,454,2.34323155629802,0.105726872246696,0.104376836971685,TRUE
"109","actinauge verrilli_Pac","2081-2100",2,11,45,38,0.206589443778287,371,2.10697403112409,0.102425876010782,0.0980503037657607,TRUE
"110","actinauge verrilli_Pac","2081-2100",2,11,85,7,0.0335588922073009,65,0.348954120305155,0.107692307692308,0.0961699268028537,TRUE
"111","actinauge verrilli_Pac","2081-2100",2,12,45,55,0.378364157884167,548,3.26877063000904,0.10036496350365,0.115751210687769,TRUE
"112","actinauge verrilli_Pac","2081-2100",2,12,85,49,0.194093145866538,416,1.86923672683247,0.117788461538462,0.103835508408526,TRUE
"113","actinauge verrilli_Pac","2081-2100",2,13,45,47,0.407591622281748,461,3.38398536209689,0.101952277657267,0.120447217900843,TRUE
"114","actinauge verrilli_Pac","2081-2100",2,13,85,54,0.331254696194933,504,3.24492526727747,0.107142857142857,0.102083921480528,TRUE
"115","actinauge verrilli_Pac","2081-2100",2,2,45,57,0.430636753142159,556,3.92539242314607,0.102517985611511,0.109705401835218,TRUE
"116","actinauge verrilli_Pac","2081-2100",2,2,85,36,0.166730187816065,343,1.79986289943457,0.104956268221574,0.0926349378435676,TRUE
"117","actinauge verrilli_Pac","2081-2100",2,3,45,59,0.419692149631609,563,3.7769373640044,0.104795737122558,0.111119700747868,TRUE
"118","actinauge verrilli_Pac","2081-2100",2,3,85,57,0.265624199409772,538,2.57658115173531,0.105947955390335,0.103091726503889,TRUE
"119","actinauge verrilli_Pac","2081-2100",2,4,45,54,0.237578112411862,490,2.45229152364648,0.110204081632653,0.0968800446932957,TRUE
"120","actinauge verrilli_Pac","2081-2100",2,4,85,23,0.0535402587012486,191,0.457109012922602,0.120418848167539,0.117127987389551,TRUE
"121","actinauge verrilli_Pac","2081-2100",2,5,45,54,0.361509486787544,526,3.02046301625096,0.102661596958175,0.119686778100748,TRUE
"122","actinauge verrilli_Pac","2081-2100",2,5,85,28,0.210935789849899,265,1.96414883874453,0.105660377358491,0.107392976381937,TRUE
"123","actinauge verrilli_Pac","2081-2100",2,6,45,55,0.360574554592271,531,3.23359325149089,0.103578154425612,0.111508939606434,TRUE
"124","actinauge verrilli_Pac","2081-2100",2,6,85,17,0.0995285140827144,174,1.00643886951573,0.0977011494252874,0.0988917629250597,FALSE
"125","actinauge verrilli_Pac","2081-2100",2,7,45,43,0.241315118306965,406,2.44447514112989,0.105911330049261,0.0987185814437954,TRUE
"126","actinauge verrilli_Pac","2081-2100",2,7,85,21,0.113008297896415,237,1.17438109290468,0.0886075949367089,0.0962279609056919,FALSE
"127","actinauge verrilli_Pac","2081-2100",2,8,45,40,0.300626750783517,373,2.92118968673938,0.107238605898123,0.102912437404596,TRUE
"128","actinauge verrilli_Pac","2081-2100",2,8,85,23,0.0768772943321749,198,0.7728549250291,0.116161616161616,0.0994718307957735,TRUE
"129","actinauge verrilli_Pac","2081-2100",2,9,45,56,0.430441679612101,540,3.84306560916226,0.103703703703704,0.112004769990365,TRUE
"130","actinauge verrilli_Pac","2081-2100",2,9,85,55,0.305536077436547,526,2.79867627170924,0.104562737642586,0.109171639651608,TRUE
"131","aforia circinata_Pac","2006-2020",2,1,45,40,7.71306535600532,406,75.9690241071268,0.0985221674876847,0.101529083026377,FALSE
"132","aforia circinata_Pac","2006-2020",2,1,85,32,7.59888188044192,329,76.3228785999208,0.0972644376899696,0.0995623071330254,FALSE
"133","aforia circinata_Pac","2006-2020",2,10,45,33,9.06633237389415,323,88.5776932574125,0.102167182662539,0.102354577552012,TRUE
"134","aforia circinata_Pac","2006-2020",2,10,85,35,10.1299936586119,351,98.9410055933541,0.0997150997150997,0.102384179318391,FALSE
"135","aforia circinata_Pac","2006-2020",2,11,45,28,6.81134088258977,297,63.4878662223163,0.0942760942760943,0.107285711237143,FALSE
"136","aforia circinata_Pac","2006-2020",2,11,85,32,5.94352874949042,316,53.514789953065,0.10126582278481,0.111063292123601,TRUE
"137","aforia circinata_Pac","2006-2020",2,12,45,30,11.7043143648745,324,118.712808193771,0.0925925925925926,0.0985935261995478,FALSE
"138","aforia circinata_Pac","2006-2020",2,12,85,32,10.3653780746802,334,104.621930319179,0.0958083832335329,0.0990746208090185,FALSE
"139","aforia circinata_Pac","2006-2020",2,13,45,30,7.51402173069164,294,71.9329046460616,0.102040816326531,0.104458755942967,TRUE
"140","aforia circinata_Pac","2006-2020",2,13,85,34,9.3423456110709,343,92.5211519966842,0.0991253644314869,0.100975240898489,FALSE
"141","aforia circinata_Pac","2006-2020",2,2,45,35,10.8089250008834,359,105.988027492994,0.0974930362116992,0.101982509313119,FALSE
"142","aforia circinata_Pac","2006-2020",2,2,85,33,8.80694753723398,343,85.0172272503718,0.0962099125364431,0.103590152514595,FALSE
"143","aforia circinata_Pac","2006-2020",2,3,45,39,9.97220799055458,380,98.2919044878588,0.102631578947368,0.101455028697571,TRUE
"144","aforia circinata_Pac","2006-2020",2,3,85,33,12.7700403590311,360,124.788006242727,0.0916666666666667,0.102333876015231,FALSE
"145","aforia circinata_Pac","2006-2020",2,4,45,29,8.52252559019064,315,93.1051361450309,0.0920634920634921,0.0915365783571274,FALSE
"146","aforia circinata_Pac","2006-2020",2,4,85,29,6.84590736310239,313,76.5367777484856,0.0926517571884984,0.089445983545314,FALSE
"147","aforia circinata_Pac","2006-2020",2,5,45,37,9.4667481899626,373,90.7708534883665,0.0991957104557641,0.104292818962817,FALSE
"148","aforia circinata_Pac","2006-2020",2,5,85,36,5.39769660234427,346,51.4105335567234,0.104046242774566,0.104992036240759,TRUE
"149","aforia circinata_Pac","2006-2020",2,6,45,35,8.31798516954842,333,78.710640917733,0.105105105105105,0.105678026154586,TRUE
"150","aforia circinata_Pac","2006-2020",2,6,85,34,6.93699286685326,314,70.4209838190344,0.10828025477707,0.0985074688061689,TRUE
"151","aforia circinata_Pac","2006-2020",2,7,45,38,9.35756830957943,369,89.1808410600501,0.102981029810298,0.10492801142432,TRUE
"152","aforia circinata_Pac","2006-2020",2,7,85,39,6.14104069302108,347,55.7289632884404,0.112391930835735,0.110194777197567,TRUE
"153","aforia circinata_Pac","2006-2020",2,8,45,23,4.84180898515953,227,39.434596389843,0.101321585903084,0.122780741491413,TRUE
"154","aforia circinata_Pac","2006-2020",2,8,85,31,9.1111312929964,328,87.8634460816909,0.0945121951219512,0.103696493812971,FALSE
"155","aforia circinata_Pac","2006-2020",2,9,45,36,10.7279233976138,343,106.087468377778,0.104956268221574,0.101123380184845,TRUE
"156","aforia circinata_Pac","2006-2020",2,9,85,35,10.6384485932294,361,105.593893249086,0.0969529085872576,0.100748710610891,FALSE
"157","aforia circinata_Pac","2021-2040",2,1,45,33,6.09783936839847,312,60.3593967631192,0.105769230769231,0.101025518732891,TRUE
"158","aforia circinata_Pac","2021-2040",2,1,85,24,4.52505676751908,222,43.9421850587298,0.108108108108108,0.102977509231078,TRUE
"159","aforia circinata_Pac","2021-2040",2,10,45,28,8.54956808674179,307,82.6782528790867,0.0912052117263844,0.103407701409041,FALSE
"160","aforia circinata_Pac","2021-2040",2,10,85,25,6.37580011651522,243,59.2229840636084,0.102880658436214,0.107657528868645,TRUE
"161","aforia circinata_Pac","2021-2040",2,11,45,21,4.55586735624975,218,39.7438698995318,0.0963302752293578,0.114630693180269,FALSE
"162","aforia circinata_Pac","2021-2040",2,11,85,21,4.12561124397746,217,35.9199873910066,0.0967741935483871,0.114855587199076,FALSE
"163","aforia circinata_Pac","2021-2040",2,12,45,30,8.59976326796493,281,82.698281599765,0.106761565836299,0.103989624712944,TRUE
"164","aforia circinata_Pac","2021-2040",2,12,85,21,6.78754512897057,230,64.8403435120361,0.091304347826087,0.104680894044163,FALSE
"165","aforia circinata_Pac","2021-2040",2,13,45,29,6.66545824173424,268,64.2654796158379,0.108208955223881,0.103717552278122,TRUE
"166","aforia circinata_Pac","2021-2040",2,13,85,34,8.35392690167621,327,85.1786399175297,0.103975535168196,0.098075373236348,TRUE
"167","aforia circinata_Pac","2021-2040",2,2,45,24,6.44891416420063,222,59.4641900333517,0.108108108108108,0.108450382668689,TRUE
"168","aforia circinata_Pac","2021-2040",2,2,85,27,6.89695915475005,278,66.7795919734131,0.0971223021582734,0.103279444377197,FALSE
"169","aforia circinata_Pac","2021-2040",2,3,45,35,7.51420506735846,342,69.8888607303614,0.10233918128655,0.107516491023499,TRUE
"170","aforia circinata_Pac","2021-2040",2,3,85,36,8.49426253540317,357,83.2049665594354,0.100840336134454,0.102088407539176,TRUE
"171","aforia circinata_Pac","2021-2040",2,4,45,24,7.04513613166768,277,76.5825933438607,0.0866425992779783,0.0919939613435989,FALSE
"172","aforia circinata_Pac","2021-2040",2,4,85,28,5.77211576432866,293,56.8168085475227,0.0955631399317406,0.101591692879067,FALSE
"173","aforia circinata_Pac","2021-2040",2,5,45,28,6.80182707975969,294,64.9515547008656,0.0952380952380952,0.104721543788836,FALSE
"174","aforia circinata_Pac","2021-2040",2,5,85,33,6.43519815038698,332,60.4101245561113,0.0993975903614458,0.106525159444254,FALSE
"175","aforia circinata_Pac","2021-2040",2,6,45,27,7.27744007736925,288,75.8068636028554,0.09375,0.0959997516253282,FALSE
"176","aforia circinata_Pac","2021-2040",2,6,85,33,5.54210865180171,286,50.8779343346764,0.115384615384615,0.108929513830997,TRUE
"177","aforia circinata_Pac","2021-2040",2,7,45,25,4.9828281620638,211,40.8347177619541,0.118483412322275,0.122024307627426,TRUE
"178","aforia circinata_Pac","2021-2040",2,7,85,22,3.91590949833624,202,30.7894079286188,0.108910891089109,0.127183657036042,TRUE
"179","aforia circinata_Pac","2021-2040",2,8,45,29,5.58226962968959,278,47.4034902591403,0.10431654676259,0.117760730257899,TRUE
"180","aforia circinata_Pac","2021-2040",2,8,85,18,3.0246185430651,163,25.8771330068475,0.110429447852761,0.11688383493893,TRUE
"181","aforia circinata_Pac","2021-2040",2,9,45,29,8.75682046319169,311,87.1792900449601,0.0932475884244373,0.100446108917331,FALSE
"182","aforia circinata_Pac","2021-2040",2,9,85,31,8.73352832449278,310,87.955214268104,0.1,0.0992951742220916,TRUE
"183","aforia circinata_Pac","2041-2060",2,1,45,27,4.59766573660538,258,40.4302165915062,0.104651162790698,0.113718553206348,TRUE
"184","aforia circinata_Pac","2041-2060",2,1,85,26,3.63673548887762,235,39.0014343533672,0.11063829787234,0.093246198484073,TRUE
"185","aforia circinata_Pac","2041-2060",2,10,45,21,4.9635326074864,219,47.3411492517856,0.0958904109589041,0.104846052238565,FALSE
"186","aforia circinata_Pac","2041-2060",2,10,85,23,6.05854669980933,227,56.9736577431426,0.101321585903084,0.106339437203126,TRUE
"187","aforia circinata_Pac","2041-2060",2,11,45,7,0.685196889415134,45,5.79355767329905,0.155555555555556,0.118268761278242,TRUE
"188","aforia circinata_Pac","2041-2060",2,11,85,2,0.327315633814711,7,2.36552611566338,0.285714285714286,0.138369063713727,TRUE
"189","aforia circinata_Pac","2041-2060",2,12,45,24,6.90626900458643,240,64.3322445316053,0.1,0.107353148562903,TRUE
"190","aforia circinata_Pac","2041-2060",2,12,85,19,4.52832726374691,149,35.5014087467965,0.12751677852349,0.127553452767013,TRUE
"191","aforia circinata_Pac","2041-2060",2,13,45,36,7.95425242044606,341,77.6926488316286,0.105571847507331,0.102381017252792,TRUE
"192","aforia circinata_Pac","2041-2060",2,13,85,16,3.61846191486336,129,29.4206123797453,0.124031007751938,0.12299070692881,TRUE
"193","aforia circinata_Pac","2041-2060",2,2,45,21,5.47631353954427,216,51.199520882447,0.0972222222222222,0.106960249728074,FALSE
"194","aforia circinata_Pac","2041-2060",2,2,85,18,2.50299023900713,143,21.1213135291674,0.125874125874126,0.118505425126645,TRUE
"195","aforia circinata_Pac","2041-2060",2,3,45,37,6.36789225065328,347,57.3959723601023,0.106628242074928,0.110946674284062,TRUE
"196","aforia circinata_Pac","2041-2060",2,3,85,12,2.37590414000865,77,17.1026669787466,0.155844155844156,0.138920096085667,TRUE
"197","aforia circinata_Pac","2041-2060",2,4,45,23,5.76097977155575,201,52.2110101895213,0.114427860696517,0.11034032382526,TRUE
"198","aforia circinata_Pac","2041-2060",2,4,85,20,4.46221143749412,160,34.1607563547598,0.125,0.130623906307987,TRUE
"199","aforia circinata_Pac","2041-2060",2,5,45,28,4.55493895057194,269,43.237767960109,0.104089219330855,0.105346301751152,TRUE
"200","aforia circinata_Pac","2041-2060",2,5,85,25,4.2266807369115,248,35.3200343678528,0.100806451612903,0.1196680810922,TRUE
"201","aforia circinata_Pac","2041-2060",2,6,45,20,4.43813695534454,190,39.4081088263452,0.105263157894737,0.112619891883204,TRUE
"202","aforia circinata_Pac","2041-2060",2,6,85,10,1.67300166525229,78,11.9919679247209,0.128205128205128,0.139510185130121,TRUE
