"spp","spp.proj"
"Thaleichthys pacificus","thaleichthys pacificus"
"Icelus spiniger","icelus spiniger"
"Ophiodon elongatus","ophiodon elongatus"
"Pandalopsis dispar","pandalopsis dispar"
"Chionoecetes opilio","chionoecetes opilio"
"Henricia leviuscula","henricia leviuscula"
"Ctenodiscus crispatus","ctenodiscus crispatus"
"Citharichthys sordidus","citharichthys sordidus"
"Doryteuthis opalescens","doryteuthis opalescens"
"Eopsetta jordani","eopsetta jordani"
"Luidia foliolata","luidia foliolata"
"Lycodes pacificus","lycodes pacificus"
"Lyopsetta exilis","lyopsetta exilis"
"Merluccius productus","merluccius productus"
"Pandalus jordani","pandalus jordani"
"Pleurobranchaea californica","pleurobranchaea californica"
"Porichthys notatus","porichthys notatus"
"Raja inornata","raja inornata"
"Raja rhina","raja rhina"
"Tritonia diomedea","tritonia diomedea"
"Patinopecten caurinus","patinopecten caurinus"
"Pyrosoma atlanticum","pyrosoma atlanticum"
"Alosa sapidissima","alosa sapidissima"
"Sebastes elongatus","sebastes elongatus"
"Allosmerus elongatus","allosmerus elongatus"
"Pisaster brevispinus","pisaster brevispinus"
"Pleuronichthys decurrens","pleuronichthys decurrens"
"Raja binoculata","raja binoculata"
"Hydrolagus colliei","hydrolagus colliei"
"Zaniolepis latipinnis","zaniolepis latipinnis"
"Cymatogaster aggregata","cymatogaster aggregata"
"Alosa pseudoharengus","alosa pseudoharengus"
"Cancer borealis","cancer borealis"
"Cancer irroratus","cancer irroratus"
"Clupea harengus","clupea harengus"
"Dichelopandalus leptocerus","dichelopandalus leptocerus"
"Gadus morhua","gadus morhua"
"Hemitripterus americanus","hemitripterus americanus"
"Hippoglossus hippoglossus","hippoglossus hippoglossus"
"Homarus americanus","homarus americanus"
"Leucoraja erinacea","leucoraja erinacea"
"Leucoraja ocellata","leucoraja ocellata"
"Zoarces americanus","zoarces americanus"
"Melanogrammus aeglefinus","melanogrammus aeglefinus"
"Merluccius bilinearis","merluccius bilinearis"
"Myoxocephalus octodecemspinosus","myoxocephalus octodecemspinosus"
"Peprilus triacanthus","peprilus triacanthus"
"Peprilus tracanthus","peprilus triacanthus"
"Placopecten magellanicus","placopecten magellanicus"
"Scomber scombrus","scomber scombrus"
"Scophthalmus aquosus","scophthalmus aquosus"
"Squalus acanthias","squalus acanthias"
"Tautogolabrus adspersus","tautogolabrus adspersus"
"Urophycis chuss","urophycis chuss"
"Alosa aestivalis","alosa aestivalis"
"Amblyraja radiata","amblyraja radiata"
"Dipturus laevis","dipturus laevis"
"Enchelyopus cimbrius","enchelyopus cimbrius"
"Glyptocephalus cynoglossus","glyptocephalus cynoglossus"
"Helicolenus dactylopterus","helicolenus dactylopterus"
"Hippoglossoides platessoides","hippoglossoides platessoides"
"Lophius americanus","lophius americanus"
"Malacoraja senta","malacoraja senta"
"Sebastes fasciatus","sebastes fasciatus"
"Urophycis tenuis","urophycis tenuis"
"Bathypolypus arcticus","bathypolypus arcticus"
"Citharichthys arctifrons","citharichthys arctifrons"
"Argentina silus","argentina silus"
"Myxine glutinosa","myxine glutinosa"
"Pontophilus norvegicus","pontophilus norvegicus"
"Urophycis regia","urophycis regia"
"Aspidophoroides monopterygius","aspidophoroides monopterygius"
"Loligo pealeii","loligo pealeii"
"Pandalus borealis","pandalus borealis"
"Pasiphaea multidentata","pasiphaea multidentata"
"Spirontocaris liljeborgii","spirontocaris lilljeborgi"
"Ammodytes dubius","ammodytes dubius"
"Anarhichas lupus","anarhichas lupus"
"Lebbeus polaris","lebbeus polaris"
"Lithodes maja","lithodes maja"
"Pandalus propinquus","atlantopandalus propinqvus"
"Illex illecebrosus","illex illecebrosus"
"Triglops murrayi","triglops murrayi"
"Phycis chesteri","phycis chesteri"
"Pandalus montagui","pandalus montagui"
"Cryptacanthodes maculatus","cryptacanthodes maculatus"
"Pollachius virens","pollachius virens"
"Scomberesox saurus","scomberesox saurus"
"Mustelus canis","mustelus canis"
"Crangon septemspinosa","crangon septemspinosa"
"Cyclopterus lumpus","cyclopterus lumpus"
"Ulvaria subbifurcata","ulvaria subbifurcata"
"Brosme brosme","brosme brosme"
"Stenotomus chrysops","stenotomus chrysops"
"Anchoa mitchilli","anchoa mitchilli"
"Actinauge verrilli","actinauge verrilli"
"Cucumaria fallax","cucumaria fallax"
"Elassochirus cavimanus","elassochirus cavimanus"
"Eumicrotremus orbis","eumicrotremus orbis"
"Sarritor frenatus","sarritor frenatus"
"Malacocottus zonurus","malacocottus zonurus"
"Modiolus modiolus","modiolus modiolus"
"Mycale loveni","mycale loveni"
"Pleurogrammus monopterygius","pleurogrammus monopterygius"
"Sebastes alutus","sebastes alutus"
"Sebastes melanostictus","sebastes melanostictus"
"Triglops scepticus","triglops scepticus"
"Aphrocallistes vastus","aphrocallistes vastus"
"Pteraster jordani","pteraster jordani"
"Pteraster militaris","pteraster militaris"
"Sebastes polyspinis","sebastes polyspinis"
"Sebastes ruberrimus","sebastes ruberrimus"
"Sebastes variabilis","sebastes variabilis"
"Liponema brevicornis","liponema brevicorne"
"Sebastolobus alascanus","sebastolobus alascanus"
"Ceramaster patagonicus","ceramaster patagonicus"
"Stegophiura ponderosa","stegophiura ponderosa"
"Bathymaster signatus","bathymaster signatus"
"Glebocarcinus oregonensis","glebocarcinus oregonensis"
"Crossaster papposus","crossaster papposus"
"Oncorhynchus keta","oncorhynchus keta"
"Laqueus californianus","laqueus californianus"
"Halichondria panicea","halichondria panicea"
"Pagurus kennerlyi","pagurus kennerlyi"
"Pododesmus macrochisma","pododesmus macrochisma"
"Hexagrammos decagrammus","hexagrammos decagrammus"
"Molpadia intermedia","molpadia intermedia"
"Sebastes aleutianus","sebastes aleutianus"
"Cheiraster dawsoni","cheiraster dawsoni"
"Crossaster borealis","crossaster borealis"
"Orthasterias koehleri","orthasterias koehleri"
"Pseudarchaster parelii","pseudarchaster parelii"
"Zaprora silenus","zaprora silenus"
"Arctomelon stearnsii","arctomelon stearnsii"
"Diplopteraster multipes","diplopteraster multipes"
"Lethasterias nanimensis","lethasterias nanimensis"
"Lopholithodes foraminatus","lopholithodes foraminatus"
"Triglops macellus","triglops macellus"
"Pseudostichopus mollis","pseudostichopus mollis"
"Strongylocentrotus polyacanthus","strongylocentrotus polyacanthus"
"Terebratalia transversa","terebratalia transversa"
"Stylasterias forreri","stylasterias forreri"
"Berryteuthis magister","berryteuthis magister"
"Pandalus tridens","pandalus tridens"
"Aphrodita negligens","aphrodita negligens"
"Clinocardium ciliatum","ciliatocardium ciliatum"
"Squalus suckleyi","squalus suckleyi"
"Cryptonatica russa","cryptonatica russa"
"Argis dentata","argis dentata"
"Cucumaria frondosa","cucumaria frondosa"
"Pasiphaea pacifica","pasiphaea pacifica"
"Mediaster aequalis","mediaster aequalis"
"Poraniopsis inflata","poraniopsis inflata"
"Sebastes variegatus","sebastes variegatus"
"Sebastes brevispinis","sebastes brevispinis"
"Sebastes proriger","sebastes proriger"
"Leuroglossus schmidti","leuroglossus schmidti"
"Stenobrachius leucopsarus","stenobrachius leucopsarus"
"Sebastes babcocki","sebastes babcocki"
"Allocentrotus fragilis","strongylocentrotus fragilis"
"Fanellia compressa","fanellia compressa"
"Ophiopholis aculeata","ophiopholis aculeata"
"Halichondria sitiens","halichondria sitiens"
"Hippasteria californica","hippasteria californica"
"Heterozonias alternatus","heterozonias alternatus"
"Sebastes zacentrus","sebastes zacentrus"
"Chrysaora melanaster","chrysaora melanaster"
"Parastichopus californicus","parastichopus californicus"
"Sebastes borealis","sebastes borealis"
"Sebastes crameri","sebastes crameri"
"Dasyatis americana","dasyatis americana"
"Dasyatis centroura","dasyatis centroura"
"Myliobatis freminvillei","myliobatis freminvillii"
"Urophycis floridana","urophycis floridana"
"Dasyatis sabina","dasyatis sabina"
"Engraulis mordax","engraulis mordax"
"Peprilus simillimus","peprilus simillimus"
"Cancer productus","cancer productus"
"Parastichopus leukothele","apostichopus leukothele"
"Sebastes chlorostictus","sebastes chlorostictus"
"Sebastes flavidus","sebastes flavidus"
"Sebastes pinniger","sebastes pinniger"
"Trachurus symmetricus","trachurus symmetricus"
"Chirona evermanni","chirona evermanni"
"Lithodes aequispinus","lithodes aequispinus"
"Reinhardtius hippoglossoides","reinhardtius hippoglossoides"
"Sclerocrangon boreas","sclerocrangon boreas"
"Dipsacaster borealis","dipsacaster borealis"
"Ceramaster japonicus","ceramaster japonicus"
"Erimacrus isenbeckii","erimacrus isenbeckii"
"Buccinum scalariforme","buccinum scalariforme"
"Opisthoteuthis californiana","opisthoteuthis californiana"
"Bathyagonus nigripinnis","bathyagonus nigripinnis"
"Lebbeus groenlandicus","lebbeus groenlandicus"
"Lycodes cortezianus","lycodes cortezianus"
"Rathbunaster californicus","rathbunaster californicus"
"Sebastes goodei","sebastes goodei"
"Sebastes jordani","sebastes jordani"
"Sebastes paucispinis","sebastes paucispinis"
"Sebastes saxicola","sebastes saxicola"
"Sebastes semicinctus","sebastes semicinctus"
"Pleuronichthys verticalis","pleuronichthys verticalis"
"Zalembius rosaceus","zalembius rosaceus"
"Genyonemus lineatus","genyonemus lineatus"
"Torpedo californica","torpedo californica"
"Platymera gaudichaudii","platymera gaudichaudii"
"Sebastes entomelas","sebastes entomelas"
"Argentina sialis","argentina sialis"
"Lycodes diapterus","lycodes diapterus"
"Icelinus filamentosus","icelinus filamentosus"
"Sebastes helvomaculatus","sebastes helvomaculatus"
"Scomber japonicus","scomber japonicus"
"Zaniolepis frenata","zaniolepis frenata"
"Sebastes diploproa","sebastes diploproa"
"Apristurus brunneus","apristurus brunneus"
"Chilara taylori","chilara taylori"
"Careproctus melanurus","careproctus melanurus"
"Parmaturus xaniurus","parmaturus xaniurus"
"Sebastes melanostomus","sebastes melanostomus"
"Dromalia alexandri","dromalia alexandri"
"Sebastes aurora","sebastes aurora"
"Paractinostola faeculenta","paractinostola faeculenta"
"Octopus californicus","octopus californicus"
"Sardinops sagax","sardinops sagax"
"Histioteuthis heteropsis","histioteuthis heteropsis"
"Chilomycterus schoepfii","chilomycterus schoepfii"
"Farfantepenaeus durorarum","farfantepenaeus duorarum"
"Sebastes wilsoni","sebastes wilsoni"
"Eptatretus deani","eptatretus deani"
"Eptatretus stoutii","eptatretus stoutii"
"Boreogadus saida","boreogadus saida"
"Buccinum polare","buccinum polare"
"Hemilepidotus papilio","hemilepidotus papilio"
"Leptasterias polaris","leptasterias polaris"
"Limanda sakhalinensis","limanda sakhalinensis"
"Lycodes raridens","lycodes raridens"
"Neptunea borealis","neptunea borealis"
"Neptunea heros","neptunea heros"
"Buccinum angulosum","buccinum angulosum"
"Liparis gibbus","liparis gibbus"
"Stomphia coccinea","stomphia coccinea"
"Neptunea ventricosa","neptunea ventricosa"
"Serripes groenlandicus","serripes groenlandicus"
"Leptasterias arctica","leptasterias arctica"
"Pteraster obscurus","pteraster obscurus"
"Echinarachnius parma","echinarachnius parma"
"Leptoclinus maculatus","leptoclinus maculatus"
"Argis lar","argis lar"
"Clinopegma magnum","clinopegma magnum"
"Eunoe nodosa","eunoe nodosa"
"Icelus spatula","icelus spatula"
"Tellina lutea","tellina lutea"
"Morone saxatilis","morone saxatilis"
"Menidia menidia","menidia menidia"
"Etrumeus teres","etrumeus teres"
"Anchoa hepsetus","anchoa hepsetus"
"Ophidion marginatum","ophidion marginatum"
"Leucoraja garmani","leucoraja garmani"
"Zenopsis conchifer","zenopsis conchifera"
"Chlorophthalmus agassizi","chlorophthalmus agassizi"
"Lepophidium profundorum","lepophidium profundorum"
"Merluccius albidus","merluccius albidus"
"Polymixia lowei","polymixia lowei"
"Scyliorhinus retifer","scyliorhinus retifer"
"Prionotus stearnsi","prionotus stearnsi"
"Trachurus lathami","trachurus lathami"
"Prionotus alatus","prionotus alatus"
"Conger oceanicus","conger oceanicus"
"Trachinocephalus myops","trachinocephalus myops"
"Gymnura altavela","gymnura altavela"
"Upeneus parvus","upeneus parvus"
"Sphyraena borealis","sphyraena borealis"
"Mullus auratus","mullus auratus"
"Triglops forficatus","triglops forficatus"
"Chauliodus macouni","chauliodus macouni"
"Neptunea amianta","neptunea amianta"
"Aptocyclus ventricosus","aptocyclus ventricosus"
"Pyrulofusus melonis","pyrulofusus melonis"
"Melanostigma atlanticum","melanostigma atlanticum"
"Stephanolepis hispidus","stephanolepis hispidus"
"Ampheraster marianus","ampheraster marianus"
"Dipsacaster eximus","dipsacaster eximius"
"Coryphaenoides cinereus","coryphaenoides cinereus"
"Strongylocentrotus droebachiensis","strongylocentrotus droebachiensis"
"Gonatus onyx","gonatus onyx"
"Coryphaenoides acrolepis","coryphaenoides acrolepis"
"Actinostola faeculenta","paractinostola faeculenta"
"Syngnathus fuscus","syngnathus fuscus"
"Rimapenaeus constrictus","rimapenaeus constrictus"
"Scorpaena calcarata","scorpaena calcarata"
"Pogonias cromis","pogonias cromis"
"Decapterus punctatus","decapterus punctatus"
"Acanthostracion quadricornis","acanthostracion quadricornis"
"Etropus microstomus","etropus microstomus"
"Archosargus probatocephalus","archosargus probatocephalus"
"Haemulon aurolineatum","haemulon aurolineatum"
"Lagocephalus laevigatus","lagocephalus laevigatus"
"Alectis ciliaris","alectis ciliaris"
"Lutjanus campechanus","lutjanus campechanus"
"Prionotus ophryas","prionotus ophryas"
"Carcharhinus plumbeus","carcharhinus plumbeus"
"Pareques umbrosus","pareques umbrosus"
"Scorpaena brasiliensis","scorpaena brasiliensis"
"Squatina dumeril","squatina dumeril"
"Pontinus longispinis","pontinus longispinis"
"Argopecten gibbus","argopecten gibbus"
"Peristedion miniatum","peristedion miniatum"
"Ophidion grayi","ophidion grayi"
"Priacanthus arenatus","priacanthus arenatus"
"Chauliodus sloani","chauliodus sloani"
"Halieutichthys aculeatus","halieutichthys aculeatus"
"Sicyonia brevirostris","sicyonia brevirostris"
"Sphoeroides dorsalis","sphoeroides dorsalis"
"Engraulis eurystole","engraulis eurystole"
"Serranus phoebe","serranus phoebe"
"Monacanthus ciliatus","monacanthus ciliatus"
"Calappa sulcata","calappa sulcata"
"Porichthys plectrodon","porichthys plectrodon"
"Neptunea pribiloffensis","neptunea pribiloffensis"
"Musculus discors","musculus discors"
"Periphylla periphylla","periphylla periphylla"
"Flustra serrulata","serratiflustra serrulata"
"Pannychia moseleyi","pannychia moseleyi"
"Pyrulofusus deformis","pyrulofusus deformis"
"Eunoe depressa","eunoe depressa"
"Plicifusus kroeyeri","plicifusus kroeyeri"
"Aforia circinata","aforia circinata"
"Beringius behringi","beringius behringi"
"Volutopsius fragilis","volutopsius fragilis"
"Atlantopandalus propinqvus","atlantopandalus propinqvus"
"Chlamys islandica","chlamys islandica"
"Eualus fabricii","eualus fabricii"
"Eualus gaimardii","eualus gaimardii"
"Eualus macilentus","eualus macilentus"
"Eumesogrammus praecisus","eumesogrammus praecisus"
"Eumicrotremus spinosus","eumicrotremus spinosus"
"Hippoglossina oblonga","hippoglossina oblonga"
"Hyas araneus","hyas araneus"
"Limanda ferruginea","limanda ferruginea"
"Liparis atlanticus","liparis atlanticus"
"Lumpenus lampretaeformis","lumpenus lampretaeformis"
"Lycodes vahlii","lycodes vahlii"
"Myoxocephalus scorpius","myoxocephalus scorpius"
"Nemichthys scolopaceus","nemichthys scolopaceus"
"Nezumia bairdii","nezumia bairdii"
"Pseudopleuronectes americanus","pseudopleuronectes americanus"
"Sergestes arcticus","sergestes arcticus"
"Solaster endeca","solaster endeca"
"Spirontocaris lilljeborgii","spirontocaris lilljeborgi"
"Spirontocaris spinus","spirontocaris spinus"
"Symphurus diomedeanus","symphurus diomedeanus"
"Arctozenus risso","arctozenus risso"
"Chaceon quinquedens","chaceon quinquedens"
"Cottunculus microps","cottunculus microps"
"Leptagonus decagonus","leptagonus decagonus"
"Sabinea septemcarinata","sabinea septemcarinata"
