"lon","lat","depth","rugosity"
268.8125,28.0625,-117,1.375
268.8125,28.1875,-86,1.125
268.9375,28.0625,-114,5.25
268.9375,28.1875,-86,1.375
269.0625,28.0625,-117,2.5
269.0625,28.1875,-84,1
269.1875,28.0625,-166,7
269.1875,28.1875,-87,2.25
269.3125,28.0625,-155,13.5
269.3125,28.1875,-88,2.25
269.4375,28.0625,-163,7.5
269.4375,28.1875,-86,2
269.5625,28.0625,-253,16.125
269.5625,28.1875,-99,2.625
269.6875,28.0625,-325,9.375
269.6875,28.1875,-138,6.875
269.8125,28.0625,-376,28.125
269.8125,28.1875,-144,7.625
269.9375,28.0625,-381,28.375
269.9375,28.1875,-212,15.125
263.5625,28.3125,-4,2.625
263.5625,28.4375,6,1.375
263.6875,28.3125,-18,0.375
263.6875,28.4375,4,2.875
263.8125,28.3125,-20,0.375
263.8125,28.4375,-14,0.75
263.9375,28.3125,-22,0
263.9375,28.4375,-17,0.625
264.0625,28.3125,-24,0.125
264.0625,28.4375,-19,0.375
264.1875,28.3125,-25,0.75
264.1875,28.4375,-22,0.375
264.3125,28.3125,-27,0.5
264.3125,28.4375,-24,0.5
264.4375,28.3125,-30,0.625
264.4375,28.4375,-27,0.25
264.5625,28.3125,-33,0.875
264.5625,28.4375,-29,0.375
264.6875,28.3125,-36,0.625
264.6875,28.4375,-32,0.5
264.8125,28.3125,-37,1
264.8125,28.4375,-36,0.875
264.9375,28.3125,-41,1.125
264.9375,28.4375,-36,0.75
265.0625,28.3125,-47,2.75
265.0625,28.4375,-38,0.375
265.1875,28.3125,-45,1.125
265.1875,28.4375,-39,0.875
265.3125,28.3125,-43,1
265.3125,28.4375,-38,0
265.4375,28.3125,-44,0.625
265.4375,28.4375,-39,0.5
265.5625,28.3125,-47,1.25
265.5625,28.4375,-44,2.25
265.6875,28.3125,-48,0.625
265.6875,28.4375,-44,3.375
265.8125,28.3125,-51,2.125
265.8125,28.4375,-44,1
265.9375,28.3125,-52,0.5
265.9375,28.4375,-44,0.75
266.0625,28.3125,-57,0.375
266.0625,28.4375,-47,0.75
266.1875,28.3125,-58,0.25
266.1875,28.4375,-48,0.625
266.3125,28.3125,-58,0.375
266.3125,28.4375,-49,0.375
266.4375,28.3125,-58,0.5
266.4375,28.4375,-49,0.375
266.5625,28.3125,-57,0.375
266.5625,28.4375,-49,0.875
266.6875,28.3125,-55,0.5
266.6875,28.4375,-44,2.875
266.8125,28.3125,-56,0.625
266.8125,28.4375,-46,1.625
266.9375,28.3125,-54,0.875
266.9375,28.4375,-44,0.375
267.0625,28.3125,-53,0.875
267.0625,28.4375,-49,0.75
267.1875,28.3125,-56,0.625
267.1875,28.4375,-50,0.75
267.3125,28.3125,-57,0.625
267.3125,28.4375,-52,0.75
267.4375,28.3125,-60,0.5
267.4375,28.4375,-55,0.625
267.5625,28.3125,-60,0.5
267.5625,28.4375,-54,0.375
267.6875,28.3125,-62,0.25
267.6875,28.4375,-55,0.875
267.8125,28.3125,-62,0.375
267.8125,28.4375,-55,0.5
267.9375,28.3125,-60,0.625
267.9375,28.4375,-54,0.625
268.0625,28.3125,-67,4.25
268.0625,28.4375,-54,0.5
268.1875,28.3125,-63,1.25
268.1875,28.4375,-54,0.875
268.3125,28.3125,-64,0.5
268.3125,28.4375,-53,0.875
268.4375,28.3125,-66,0.75
268.4375,28.4375,-53,0.625
268.5625,28.3125,-66,1.25
268.5625,28.4375,-50,1.125
268.6875,28.3125,-66,0.75
268.6875,28.4375,-49,1
268.8125,28.3125,-63,1.125
268.8125,28.4375,-46,1.25
268.9375,28.3125,-58,1.125
268.9375,28.4375,-41,1.625
269.0625,28.3125,-56,1
269.0625,28.4375,-37,0.5
269.1875,28.3125,-54,1.5
269.1875,28.4375,-41,2.75
269.3125,28.3125,-52,1.5
269.3125,28.4375,-40,0.5
269.4375,28.3125,-54,1.25
269.4375,28.4375,-42,0.625
269.5625,28.3125,-58,1.125
269.5625,28.4375,-45,0.75
269.6875,28.3125,-64,1.625
269.6875,28.4375,-50,1.125
269.8125,28.3125,-80,2.875
269.8125,28.4375,-59,0.875
269.9375,28.3125,-98,1.875
269.9375,28.4375,-76,1.5
263.8125,28.5625,-3,0.5
263.8125,28.6875,5,2.25
263.9375,28.5625,-2,3.375
263.9375,28.6875,4,1
264.0625,28.5625,-10,0.75
264.0625,28.6875,-2,2.125
264.1875,28.5625,-15,0.5
264.1875,28.6875,-2,1.375
264.3125,28.5625,-16,0.375
264.3125,28.6875,-11,1
264.4375,28.5625,-20,0.125
264.4375,28.6875,-15,0.5
264.5625,28.5625,-25,0.5
264.5625,28.6875,-18,0.625
264.6875,28.5625,-27,0.5
264.6875,28.6875,-22,0.75
264.8125,28.5625,-29,0
264.8125,28.6875,-22,0.875
264.9375,28.5625,-30,0
264.9375,28.6875,-27,1.5
265.0625,28.5625,-31,0.375
265.0625,28.6875,-26,0.375
265.1875,28.5625,-32,0.25
265.1875,28.6875,-25,0.625
265.3125,28.5625,-32,0.875
265.3125,28.6875,-27,0.625
265.4375,28.5625,-34,0.5
265.4375,28.6875,-28,0.75
265.5625,28.5625,-35,0.875
265.5625,28.6875,-27,1.125
265.6875,28.5625,-34,0.875
265.6875,28.6875,-28,1.125
265.8125,28.5625,-32,3.25
265.8125,28.6875,-30,1.125
265.9375,28.5625,-36,0.25
265.9375,28.6875,-28,0.625
266.0625,28.5625,-36,0.625
266.0625,28.6875,-28,0.375
266.1875,28.5625,-36,0.375
266.1875,28.6875,-26,0.375
266.3125,28.5625,-35,0.5
266.3125,28.6875,-26,0.625
266.4375,28.5625,-36,0.375
266.4375,28.6875,-30,0.625
266.5625,28.5625,-37,0.625
266.5625,28.6875,-30,1.625
266.6875,28.5625,-38,0.5
266.6875,28.6875,-31,0.5
266.8125,28.5625,-39,0.875
266.8125,28.6875,-31,0.5
266.9375,28.5625,-41,1.125
266.9375,28.6875,-33,1.125
267.0625,28.5625,-40,1.125
267.0625,28.6875,-34,0.5
267.1875,28.5625,-41,1.125
267.1875,28.6875,-34,0.625
267.3125,28.5625,-40,1.375
267.3125,28.6875,-34,0.625
267.4375,28.5625,-39,0.875
267.4375,28.6875,-34,0.625
267.5625,28.5625,-40,0.75
267.5625,28.6875,-38,2.625
267.6875,28.5625,-43,0.75
267.6875,28.6875,-37,0.5
267.8125,28.5625,-43,0.375
267.8125,28.6875,-38,0.75
267.9375,28.5625,-42,0.375
267.9375,28.6875,-34,1.75
268.0625,28.5625,-42,0.375
268.0625,28.6875,-34,0.375
268.1875,28.5625,-42,0.5
268.1875,28.6875,-32,0.75
268.3125,28.5625,-41,0.75
268.3125,28.6875,-29,0.875
268.4375,28.5625,-39,0.5
268.4375,28.6875,-28,1
268.5625,28.5625,-36,1
268.5625,28.6875,-25,0.625
268.6875,28.5625,-32,0.625
268.6875,28.6875,-21,0.625
268.8125,28.5625,-38,6.625
268.8125,28.6875,-16,0.75
268.9375,28.5625,-26,1.125
268.9375,28.6875,-13,0.625
269.0625,28.5625,-24,0.75
269.0625,28.6875,-13,0.5
269.1875,28.5625,-23,0.75
269.1875,28.6875,-16,0
269.3125,28.5625,-22,1.125
269.3125,28.6875,-16,0.375
269.4375,28.5625,-27,1.5
269.4375,28.6875,-18,0.5
269.5625,28.5625,-34,0.625
269.5625,28.6875,-18,0.5
269.6875,28.5625,-42,0.375
269.6875,28.6875,-26,1
269.8125,28.5625,-53,2.375
269.8125,28.6875,-36,1.5
269.9375,28.5625,-67,1.75
269.9375,28.6875,-49,4.375
270.0625,28.5625,-259,31.25
270.0625,28.6875,-58,6.875
270.1875,28.5625,-492,6.625
270.1875,28.6875,-93,1
270.3125,28.5625,-170,35.25
270.3125,28.6875,-97,1.125
270.4375,28.5625,-273,38.375
270.4375,28.6875,-105,2.625
264.3125,28.8125,7,2.125
264.3125,28.9375,11,1.375
264.4375,28.8125,2,0.375
264.4375,28.9375,8,2.375
264.5625,28.8125,-8,0.5
264.5625,28.9375,6,2.75
264.6875,28.8125,-16,0.75
264.6875,28.9375,2,1.375
264.8125,28.8125,-20,0.125
264.8125,28.9375,-14,0.375
264.9375,28.8125,-19,0.25
264.9375,28.9375,-18,0.5
265.0625,28.8125,-19,0.5
265.0625,28.9375,-18,0.25
265.1875,28.8125,-20,0.5
265.1875,28.9375,-17,0.375
265.3125,28.8125,-20,0.375
265.3125,28.9375,-15,1.125
265.4375,28.8125,-21,0.75
265.4375,28.9375,-20,0.25
265.5625,28.8125,-25,1.25
265.5625,28.9375,-17,0.75
265.6875,28.8125,-25,1
265.6875,28.9375,-19,0.75
265.8125,28.8125,-25,0.25
265.8125,28.9375,-20,0.75
265.9375,28.8125,-24,0.125
265.9375,28.9375,-19,0.875
266.0625,28.8125,-23,0.125
266.0625,28.9375,-21,1
266.1875,28.8125,-22,0.5
266.1875,28.9375,-22,0
266.3125,28.8125,-20,1.625
266.3125,28.9375,-23,0.75
266.4375,28.8125,-23,0.875
266.4375,28.9375,-22,0.375
266.5625,28.8125,-25,1
266.5625,28.9375,-22,0.375
266.6875,28.8125,-25,1.125
266.6875,28.9375,-23,1.25
266.8125,28.8125,-24,0.5
266.8125,28.9375,-22,0.375
266.9375,28.8125,-26,0.25
266.9375,28.9375,-24,0.625
