taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common,genusspecies,newname
Mycale loveni,loveni,Mycale,Mycalidae,Poecilosclerida,Demospongiae,NA,NA,Porifera,Animalia,Mycale loveni,tree sponge,Mycale loveni,Mycale loveni
Myxoderma platyacanthum,platyacanthum,Myxoderma,Zoroasteridae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Myxoderma platyacanthum,sea star,Myxoderma platyacanthum,Myxoderma platyacanthum
Neptunea amianta,amianta,Neptunea,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Neptunea amianta,true whelk,Neptunea amianta,Neptunea amianta
Notostomum cyclostomum,cyclostomum,Notostomum,Piscicolidae,Rhynchobdellida,Hirudinea,NA,Clitellata,Annelida,Animalia,Notostomum cyclostomum,annelid,Notostomum cyclostomum,Notostomum cyclostomum
OPISTHOEMA OGLIUM,oglinum,Opisthonema,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Opisthonema oglinum,Atlantic thread herring,Opisthonema oglinum,Opisthonema oglinum
Octopus (=Enteroctopus) dofleini,dofleini,Enteroctopus,Octopodidae,Octopoda,Cephalopoda,NA,NA,Mollusca,Animalia,Octopus dofleini,giant pacific octopus,Enteroctopus dofleini,Enteroctopus dofleini
Orthasterias koehleri,koehleri,Orthasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Orthasterias koehleri,rainbow star,Orthasterias koehleri,Orthasterias koehleri
PARTHEOPE GRAULATA,granulatus,Platylambrus,Parthenopidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Platyambrus ganulatus,bladetooth elbow crab,Platylambrus granulatus,Platylambrus granulatus
PEAEUS DUORARUM,duorarum,Penaeus,Penaeidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Penaeus duorarum,spotted shrimp,Penaeus duorarum,Penaeus duorarum
PORTUUS SPIICARPUS,spinicarpus,Achelous,Portunidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Achelous spinicarpus,longspine swimming crab,Achelous spinicarpus,Achelous spinicarpus
PSEUDOPLEURONECTES AMERICANUS ,americanus,Pseudopleuronectes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Pseudopleuronectes americanus ,winter flounder,Pseudopleuronectes americanus,Pseudopleuronectes americanus
Paguristes turgidus,turgidus,Paguristes,Diogenidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Paguristes turgidus,hermit crab,Paguristes turgidus,Paguristes turgidus
Pagurus capillatus,capillatus,Pagurus,Paguridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Pagurus capillatus,fuzzy hermit crab,Pagurus capillatus,Pagurus capillatus
Parastichopus californicus,californicus,Parastichopus,Stichopodidae,Aspidochirotida,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Parastichopus californicus,giant California sea cucumber,Parastichopus californicus,Parastichopus californicus
Parastichopus leukothele,leukothele,Parastichopus,Stichopodidae,Aspidochirotida,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Parastichopus leukothele,giant orange sea cucumber,Parastichopus leukothele,Parastichopus leukothele
Pleurobranchaea californica,californica,Pleurobranchaea,Pleurobranchidae,Notaspidea,Gastropoda,NA,NA,Mollusca,Animalia,Pleurobranchaea californica,nudibranch,Pleurobranchaea californica,Pleurobranchaea californica
Poraniopsis inflata,inflata,Poraniopsis,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Poraniopsis inflata,spiny sea star,Poraniopsis inflata,Poraniopsis inflata
Primnoa willeyi,willeyi,Primnoa,Primnoidae,Alcyonacea,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Primnoa willeyi,red tree coral,Primnoa willeyi,Primnoa willeyi
Pseudostichopus mollis,mollis,Pseudostichopus,Synallactidae,Aspidochirotida,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Pseudostichopus mollis,sea cucumber,Pseudostichopus mollis,Pseudostichopus mollis
Pteraster jordani,jordani,Pteraster,Pterasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Pteraster jordani,Jordan's cushion star,Pteraster jordani,Pteraster jordani
Pteraster obscurus,obscurus,Pteraster,Pterasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Pteraster obscurus,obscure cushion star,Pteraster obscurus,Pteraster obscurus
Purple Striated Anemone,NA,NA,Actinistolidae,Actiniaria,Anthozoa,NA,NA,Cnidaria,Animalia,Purple striated anemone,Purple striated anemone,NA NA,Purple striated anemone
Pyrulofusus melonis,melonis,Pyrulofusus,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Pyrulofusus melonis,melon shaped whelk,Pyrulofusus melonis,Pyrulofusus melonis
RAJA TEXAA,texana,Raja,Rajidae,Rajiformes,Elasmobranchii,Gnathostomata,Vertebrata,Chordata,Animalia,Raja texana,roundel skate,Raja texana,Raja texana
Raja binoculata egg case,binoculata,Raja,Rajidae,Rajiformes,Elasmobranchii,Gnathostomata,Vertebrata,Chordata,Animalia,Raja binoculata egg case,big skate egg case,Raja binoculata,Raja binoculata
Raja sp. egg case,NA,Raja,Rajidae,Rajiformes,Elasmobranchii,Gnathostomata,Vertebrata,Chordata,Animalia,Raja spp.,skate egg case,Raja NA,Raja spp.
Rajiformes egg case,NA,NA,NA,Rajiformes,Elasmobranchii,Gnathostomata,Vertebrata,Chordata,Animalia,Rajiformes egg case,skate egg case,NA NA,Rajiformes egg case
Rathbunaster californicus,californicus,Rathbunaster,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Rathbunaster californicus,deep-sea sun star,Rathbunaster californicus,Rathbunaster californicus
Rossellinae,NA,NA,Rossellidae,Lyssacinosida,Hexactinellida,NA,NA,Porifera,Animalia,Rossellinae spp.,sea spunge,NA NA,Rossellinae spp.
SAURIDA BRASILIESIS,brasiliensis,Saurida,Synodontidae,Aulopiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Saurida brasiliensis,largescale lizardfish,Saurida brasiliensis,Saurida brasiliensis
SELAR CRUMEOPHTHALMUS,crumenophthalmus,Selar,Carangidae,Perciformes,Actinopterygii,Gnathostomata,Vertebrata,Chordata,Animalia,Selar crumenophthalmus,bigeye scad,Selar crumenophthalmus,Selar crumenophthalmus
SICYOIA BREVIROSTRIS,brevirostris,Sicyonia,Sicyoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Sicyoia brevirostris,brown rock shrimp,Sicyonia brevirostris,Sicyonia brevirostris
SPHYRAEA GUACHACHO,guachancho,Sphyraena,Sphyraenidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sphyraena guachancho,guaguanche baracuda,Sphyraena guachancho,Sphyraena guachancho
SQUILLA CHYDAEA,chydaea,Squilla,Squillidae,Stomatopoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Squilla chydaea,offshore mantis shrimp,Squilla chydaea,Squilla chydaea
SYACIUM GUTERI,gunteri,Syacium,Paralichthyidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Syacium gunteri,shoal flounder,Syacium gunteri,Syacium gunteri
Sergestes similis,similis,Sergestes,Sergestidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Sergestes similis,midwater shrimp,Sergestes similis,Sergestes similis
Solaster borealis,borealis,Crossaster,Solasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Crossaster borealis,grooved sun star,Crossaster borealis,Crossaster borealis
Stegophiura ponderosa,ponderosa,Stegophiura,Ophiuridae,Ophiurida,Ophiuroidea,NA,Asterozoa,Echinodermata,Animalia,Stegophiura ponderosa,sea star,Stegophiura ponderosa,Stegophiura ponderosa
Strongylocentrotus franciscanus,franciscanus,Strongylocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,NA,Echinozoa,Echinodermata,Animalia,Strongylocentrotus franciscanus,red sea star,Strongylocentrotus franciscanus,Strongylocentrotus franciscanus
Stylasterias forreri,forreri,Stylasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Stylasterias forreri,velcro star,Stylasterias forreri,Stylasterias forreri
TRACHYPEEUS SIMILIS,similis,Rimapenaeus,Penaeidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Rimapenaeus similis,roughback shrimp,Rimapenaeus similis,Rimapenaeus similis
Terebratalia transversa,transversa,Terebratalia,Laqueidae,Terebratulida,Rhynchonellata,NA,Rhynchonelliformea,Brachiopoda,Animalia,Terebratalia transversa,common lamp shell,Terebratalia transversa,Terebratalia transversa
Terebratellacea,NA,NA,NA,Terebratulida,Rhynchonellata,NA,Rhynchonelliformea,Brachiopoda,Animalia,Terebratellacea spp.,brachiopod,NA NA,Terebratellacea spp.
Thrissacanthias penicillatus,penicillatus,Thrissacanthias,Astropectinidae,Paxillosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Thrissacanthias penicillatus,sea star,Thrissacanthias penicillatus,Thrissacanthias penicillatus
UROPHYCIS FLORIDAUS,floridana,Urophycis,Phycidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Urophycis floridana,southern hake,Urophycis floridana,Urophycis floridana
XIPHOPEAEUS KROYERI,kroyeri,Xiphopenaeus,Penaeidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Xiphopenaeus kroyeri,Atlantic seabob,Xiphopenaeus kroyeri,Xiphopenaeus kroyeri
Zoroaster evermanni,evermanni,Sagenaster,Zoroasteridae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Sagenaster evermanni,sea star,Sagenaster evermanni,Sagenaster evermanni
SEBASTES FASCIATUS,fasciatus,Sebastes,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Sebastes fasciatus,Acadian redfish,Sebastes fasciatus,Sebastes fasciatus
Sebastes fasciatus,fasciatus,Sebastes,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sebastes fasciatus,Acadian redfish,Sebastes fasciatus,Sebastes fasciatus
PANDALUS MONTAGUI,montagui,Pandalus,Pandalidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Pandalus montagui,Aesop shrimp,Pandalus montagui,Pandalus montagui
Aphrodita spp.,NA,Aphrodita,Aphroditidae,Phyllodocida,Errantia,NA,Polychaeta,Annelida,Animalia,Aphrodita spp.,sea mouse,Aphrodita NA,Aphrodita spp.
Bothrocara pusillum,pusillum,Bothrocara,Zoarcidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bothrocara pusillum,Alaska eelpout,Bothrocara pusillum,Bothrocara pusillum
Pleuronectes quadrituberculatus,quadrituberculatus,Pleuronectes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Pleuronectes quadrituberculatus,Alaska plaice,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus
Pleuronectesquadrituberculatus,quadrituberculatus,Pleuronectes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Pleuronectes quadrituberculatus,Alaska plaice,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus
Siliqua alta,alta,Siliqua,Pharidae,Veneroida,Bivalvia,NA,NA,Mollusca,Animalia,Siliqua alta,Alaska razor,Siliqua alta,Siliqua alta
Bathyraja parmifera,parmifera,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja parmifera,Alaska skate,Bathyraja parmifera,Bathyraja parmifera
Arctomelon stearnsii,stearnsii,Arctomelon,Volutidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Arctomelon stearnsii,Alaska volute,Arctomelon stearnsii,Arctomelon stearnsii
Pagurus ochotensis,ochotensis,Pagurus,Paguridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Pagurus ochotensis,Alaskan hermit crab,Pagurus ochotensis,Pagurus ochotensis
Pandalus eous (=borealis),eous,Pandalus,Pandalidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Pandalus eous,Alaskan pink shrimp,Pandalus eous,Pandalus eous
Pandaluseous(=borealis),eous,Pandalus,Pandalidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Pandalus eous,Alaskan pink shrimp,Pandalus eous,Pandalus eous
Bathymaster caeruleofasciatus,caeruleofasciatus,Bathymaster,Bathymasteridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bathymaster caeruleofasciatus,Alaskan ronquil,Bathymaster caeruleofasciatus,Bathymaster caeruleofasciatus
Pseudarchaster alascensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudarchaster alascensis,Alaskan scarlet star,NA NA,Pseudarchaster alascensis
Pseudarchaster spp.,NA,Pseudarchaster,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Pseudarchaster spp.,Alaskan scarlet star,Pseudarchaster NA,Pseudarchaster spp.
Aspidophoroides bartoni,bartoni,Aspidophoroides,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Aspidophoroides bartoni,Aleutian alligatorfish,Aspidophoroides bartoni,Aspidophoroides bartoni
Aspidophoroidesbartoni,bartoni,Aspidophoroides,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Aspidophoroides bartoni,Aleutian alligatorfish,Aspidophoroides bartoni,Aspidophoroides bartoni
Pagurus aleuticus,aleuticus,Pagurus,Paguridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Pagurus aleuticus,Aleutian hermit,Pagurus aleuticus,Pagurus aleuticus
Bathyraja aleutica,aleutica,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja aleutica,Aleutian skate,Bathyraja aleutica,Bathyraja aleutica
PEPRILUS TRIACANTHUS,triacanthus,Peprilus,Stromateidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Peprilus triacanthus,American butterfish,Peprilus triacanthus,Peprilus triacanthus
PARALICHTHYS OBLONGUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paralichthys oblongus,American fourspot flounder,NA NA,Paralichthys oblongus
HOMARUS AMERICANUS,americanus,Homarus,Nephropidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Homarus americanus,American lobster,Homarus americanus,Homarus americanus
Homarus americanus,americanus,Homarus,Nephropidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Homarus americanus,American lobster,Homarus americanus,Homarus americanus
HIPPOGLOSSOIDES PLATESSOIDES,platessoides,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides platessoides,American plaice,Hippoglossoides platessoides,Hippoglossoides platessoides
Hippoglossoides platessoides,platessoides,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides platessoides,American plaice,Hippoglossoides platessoides,Hippoglossoides platessoides
ALOSA SAPIDISSIMA,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad,Alosa sapidissima,Alosa sapidissima
Alosa sapidissima,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad,Alosa sapidissima,Alosa sapidissima
STELLIFER LACEOLATUS,lanceolatus,Stellifer,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Stellifer laceolatus,American stardrum,Stellifer lanceolatus,Stellifer lanceolatus
ASPIDOPHOROIDES OLRIKI,olrikii,Ulcina,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ulcina olrikii,Arctic alligatorfish,Ulcina olrikii,Ulcina olrikii
BOREOGADUS SAIDA,saida,Boreogadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Boreogadus saida,Arctic cod,Boreogadus saida,Boreogadus saida
Boreogadus saida,saida,Boreogadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Boreogadus saida,Arctic cod,Boreogadus saida,Boreogadus saida
LYCODES RETICULATUS,reticulatus,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lycodes reticulatus,Arctic eelpout,Lycodes reticulatus,Lycodes reticulatus
Hiatella arctica,arctica,Hiatella,Hiatellidae,Myoida,Bivalvia,NA,NA,Mollusca,Animalia,Hiatella arctica,Arctic hiatella,Hiatella arctica,Hiatella arctica
Hyas coarctatus,coarctatus,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas coarctatus,Arctic lyre crab,Hyas coarctatus,Hyas coarctatus
Hyascoarctatus,coarctatus,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas coarctatus,Arctic lyre crab,Hyas coarctatus,Hyas coarctatus
Mactromeris polynyma,polynyma,Mactromeris,Mactridae,Veneroida,Bivalvia,NA,NA,Mollusca,Animalia,Mactromeris polynyma,Arctic surfclam,Mactromeris polynyma,Mactromeris polynyma
ARGIS DENTATA,dentata,Argis,Crangonidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Argis dentata,Artic argid,Argis dentata,Argis dentata
Argis dentata,dentata,Argis,Crangonidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Argis dentata,Artic argid,Argis dentata,Argis dentata
